amount,date,category,description/merchant,expense_type
36.72,2023-05-01,Transportation,Ride Sharing App,need
173.5,2023-05-01,Education,Bookstore,want
31.88,2023-05-01,Dining Out,Fast Food Z,want
386.61,2023-05-02,Travel,Train Ticket,want
190.3,2023-05-02,Shopping,Online Electronics,want
29.47,2023-05-03,Transportation,Bus Pass Kiosk,need
41.22,2023-05-03,Groceries,Supermarket A,need
42.42,2023-05-04,Transportation,Petrol Station,need
22.46,2023-05-04,Dining Out,Pizzeria Bella,want
31.33,2023-05-06,Dining Out,Sushi Bar,want
117.14,2023-05-06,Education,Online Course,need
100.79,2023-05-06,Groceries,Grocery Store B,need
13.15,2023-05-06,Personal Care,Pharmacy,need
99.12,2023-05-06,Entertainment,Concert Venue,want
125.64,2023-05-07,Health,Gym Membership,need
200.44,2023-05-07,Education,Bookstore,want
106.69,2023-05-07,Health,Gym Membership,need
65.18,2023-05-07,Health,Doctor Visit,need
14.83,2023-05-07,Dining Out,Lunch Cafe,want
18.52,2023-05-08,Transportation,Ride Sharing App,need
14.48,2023-05-08,Transportation,Bus Pass Kiosk,need
11.73,2023-05-08,Personal Care,Pharmacy,need
13.0,2023-05-09,Shopping,Clothing Store Sale,need
133.8,2023-05-10,Utilities,Water Bill,need
164.18,2023-05-10,Shopping,Home Decor,want
66.98,2023-05-11,Travel,Hotel Stay,want
47.77,2023-05-11,Personal Care,Haircut,want
206.86,2023-05-12,Education,Bookstore,want
58.15,2023-05-12,Transportation,Bus Pass Kiosk,need
114.39,2023-05-13,Health,Doctor Visit,need
27.83,2023-05-14,Personal Care,Haircut,want
78.34,2023-05-14,Education,Online Course,need
27.7,2023-05-15,Shopping,Home Decor,want
79.36,2023-05-15,Utilities,Electricity Bill,need
74.07,2023-05-15,Education,Bookstore,want
118.53,2023-05-15,Shopping,Online Electronics,want
47.33,2023-05-16,Shopping,Home Decor,want
29.8,2023-05-16,Health,Therapy Session,need
29.27,2023-05-16,Transportation,Petrol Station,need
32.19,2023-05-17,Dining Out,Pizzeria Bella,want
104.06,2023-05-19,Utilities,Water Bill,need
29.33,2023-05-19,Transportation,Petrol Station,need
220.14,2023-05-19,Travel,Hotel Stay,want
97.36,2023-05-20,Health,Gym Membership,need
206.15,2023-05-20,Travel,Train Ticket,want
39.78,2023-05-21,Utilities,Water Bill,need
50.21,2023-05-21,Transportation,Ride Sharing App,need
38.88,2023-05-22,Personal Care,Spa Center,want
145.36,2023-05-22,Health,Gym Membership,need
32.73,2023-05-22,Personal Care,Pharmacy,need
47.0,2023-05-23,Groceries,Local Supermarket,need
296.0,2023-05-23,Travel,Flight Booking,want
108.65,2023-05-26,Groceries,Grocery Store B,need
10.01,2023-05-27,Entertainment,Streaming Service Subscription,want
23.7,2023-05-27,Dining Out,Fast Food Z,want
90.96,2023-05-28,Entertainment,Cinema Tickets,want
78.12,2023-05-30,Personal Care,Spa Center,want
43.68,2023-05-30,Utilities,Internet Provider,need
114.29,2023-05-30,Utilities,Electricity Bill,need
33.1,2023-05-30,Dining Out,Coffee Shop Downtown,want
145.7,2023-05-31,Education,Workshop Fee,need
26.71,2023-06-01,Groceries,Local Supermarket,need
50.34,2023-06-01,Groceries,Supermarket A,need
14.36,2023-06-02,Transportation,Petrol Station,need
178.84,2023-06-02,Shopping,Home Decor,want
44.01,2023-06-02,Transportation,Ride Sharing App,need
100.44,2023-06-03,Health,Therapy Session,need
370.97,2023-06-03,Travel,Train Ticket,want
26.06,2023-06-04,Transportation,Ride Sharing App,need
98.24,2023-06-04,Health,Gym Membership,need
24.3,2023-06-04,Personal Care,Haircut,want
38.87,2023-06-04,Utilities,Electricity Bill,need
74.46,2023-06-05,Groceries,Supermarket A,need
136.26,2023-06-05,Education,Workshop Fee,need
238.09,2023-06-05,Education,Workshop Fee,need
43.74,2023-06-06,Utilities,Internet Provider,need
91.27,2023-06-07,Entertainment,Cinema Tickets,want
175.81,2023-06-07,Education,Online Course,need
167.45,2023-06-08,Shopping,Bookshop,want
51.08,2023-06-09,Utilities,Electricity Bill,need
24.26,2023-06-09,Transportation,Petrol Station,need
37.47,2023-06-10,Utilities,Water Bill,need
22.34,2023-06-11,Dining Out,Pizzeria Bella,want
15.55,2023-06-11,Dining Out,Lunch Cafe,want
42.26,2023-06-11,Groceries,Supermarket A,need
27.32,2023-06-11,Dining Out,Coffee Shop Downtown,want
104.43,2023-06-11,Utilities,Water Bill,need
47.91,2023-06-12,Entertainment,Streaming Service Subscription,want
27.92,2023-06-13,Dining Out,Pizzeria Bella,want
127.52,2023-06-14,Education,Bookstore,want
187.35,2023-06-15,Travel,Hotel Stay,want
226.6,2023-06-15,Education,Workshop Fee,need
435.17,2023-06-15,Travel,Hotel Stay,want
22.58,2023-06-15,Dining Out,Lunch Cafe,want
62.49,2023-06-15,Groceries,Supermarket A,need
119.6,2023-06-15,Groceries,Grocery Store B,need
49.55,2023-06-16,Health,Therapy Session,need
17.13,2023-06-16,Personal Care,Haircut,want
58.46,2023-06-17,Personal Care,Pharmacy,need
95.37,2023-06-17,Shopping,Online Electronics,want
105.34,2023-06-18,Utilities,Water Bill,need
166.72,2023-06-18,Travel,Flight Booking,want
41.25,2023-06-18,Groceries,Local Supermarket,need
18.6,2023-06-19,Personal Care,Haircut,want
89.36,2023-06-19,Health,Gym Membership,need
56.63,2023-06-19,Groceries,Supermarket A,need
46.13,2023-06-21,Transportation,Ride Sharing App,need
181.63,2023-06-21,Shopping,Clothing Store Sale,need
80.89,2023-06-21,Entertainment,Cinema Tickets,want
24.31,2023-06-22,Dining Out,Pizzeria Bella,want
23.51,2023-06-23,Dining Out,Fast Food Z,want
56.98,2023-06-23,Entertainment,Concert Venue,want
9.64,2023-06-23,Dining Out,Coffee Shop Downtown,want
14.83,2023-06-24,Transportation,Ride Sharing App,need
43.68,2023-06-25,Entertainment,Cinema Tickets,want
120.31,2023-06-25,Travel,Flight Booking,want
59.54,2023-06-25,Education,Workshop Fee,need
21.31,2023-06-25,Transportation,Ride Sharing App,need
62.85,2023-06-27,Personal Care,Spa Center,want
256.34,2023-06-27,Travel,Hotel Stay,want
98.55,2023-06-28,Utilities,Electricity Bill,need
58.31,2023-06-28,Travel,Flight Booking,want
44.02,2023-06-29,Transportation,Bus Pass Kiosk,need
175.97,2023-06-30,Shopping,Home Decor,want
10.32,2023-06-30,Entertainment,Cinema Tickets,want
14.72,2023-06-30,Entertainment,Cinema Tickets,want
130.56,2023-06-30,Health,Doctor Visit,need
49.9,2023-06-30,Entertainment,Streaming Service Subscription,want
125.13,2023-06-30,Health,Therapy Session,need
47.31,2023-07-01,Groceries,Grocery Store B,need
164.04,2023-07-01,Shopping,Home Decor,want
70.61,2023-07-01,Health,Therapy Session,need
131.04,2023-07-01,Shopping,Bookshop,want
41.4,2023-07-02,Groceries,Local Supermarket,need
119.38,2023-07-04,Utilities,Internet Provider,need
430.51,2023-07-04,Travel,Hotel Stay,want
16.35,2023-07-05,Entertainment,Streaming Service Subscription,want
108.78,2023-07-05,Utilities,Electricity Bill,need
79.71,2023-07-05,Personal Care,Haircut,want
109.67,2023-07-06,Education,Bookstore,want
95.46,2023-07-06,Entertainment,Streaming Service Subscription,want
30.99,2023-07-06,Shopping,Home Decor,want
167.4,2023-07-07,Shopping,Online Electronics,want
11.38,2023-07-07,Personal Care,Spa Center,want
165.05,2023-07-07,Shopping,Bookshop,want
22.57,2023-07-08,Health,Therapy Session,need
194.65,2023-07-08,Travel,Hotel Stay,want
76.3,2023-07-08,Education,Online Course,need
12.31,2023-07-08,Transportation,Ride Sharing App,need
59.93,2023-07-09,Groceries,Grocery Store B,need
69.53,2023-07-09,Travel,Hotel Stay,want
26.16,2023-07-09,Personal Care,Pharmacy,need
40.1,2023-07-09,Groceries,Supermarket A,need
99.75,2023-07-10,Education,Workshop Fee,need
30.27,2023-07-10,Transportation,Ride Sharing App,need
12.2,2023-07-10,Transportation,Ride Sharing App,need
131.65,2023-07-11,Travel,Train Ticket,want
47.7,2023-07-11,Utilities,Water Bill,need
37.31,2023-07-13,Groceries,Grocery Store B,need
139.72,2023-07-13,Utilities,Electricity Bill,need
16.26,2023-07-13,Personal Care,Pharmacy,need
39.09,2023-07-14,Entertainment,Cinema Tickets,want
51.85,2023-07-15,Utilities,Water Bill,need
161.34,2023-07-15,Shopping,Bookshop,want
17.22,2023-07-15,Transportation,Bus Pass Kiosk,need
25.67,2023-07-15,Personal Care,Haircut,want
26.63,2023-07-15,Transportation,Ride Sharing App,need
228.66,2023-07-16,Education,Online Course,need
188.23,2023-07-16,Education,Online Course,need
475.81,2023-07-16,Travel,Flight Booking,want
117.25,2023-07-16,Utilities,Water Bill,need
291.11,2023-07-17,Travel,Train Ticket,want
34.64,2023-07-18,Transportation,Ride Sharing App,need
34.44,2023-07-18,Personal Care,Pharmacy,need
159.94,2023-07-18,Shopping,Clothing Store Sale,need
8.19,2023-07-19,Dining Out,Fast Food Z,want
115.53,2023-07-19,Health,Doctor Visit,need
104.59,2023-07-19,Utilities,Electricity Bill,need
191.74,2023-07-20,Shopping,Home Decor,want
130.38,2023-07-21,Utilities,Water Bill,need
95.93,2023-07-22,Entertainment,Cinema Tickets,want
46.3,2023-07-22,Entertainment,Concert Venue,want
20.35,2023-07-22,Personal Care,Haircut,want
45.75,2023-07-22,Shopping,Home Decor,want
35.35,2023-07-23,Dining Out,Lunch Cafe,want
136.99,2023-07-23,Health,Doctor Visit,need
20.51,2023-07-24,Personal Care,Pharmacy,need
100.18,2023-07-25,Education,Bookstore,want
288.07,2023-07-27,Travel,Hotel Stay,want
122.31,2023-07-29,Shopping,Online Electronics,want
9.16,2023-07-29,Personal Care,Haircut,want
45.3,2023-07-29,Education,Bookstore,want
63.9,2023-07-29,Personal Care,Haircut,want
44.3,2023-07-29,Transportation,Petrol Station,need
21.43,2023-07-30,Dining Out,Lunch Cafe,want
89.67,2023-07-30,Health,Therapy Session,need
19.93,2023-07-30,Personal Care,Pharmacy,need
195.73,2023-07-30,Shopping,Clothing Store Sale,need
94.72,2023-07-30,Health,Therapy Session,need
21.81,2023-07-31,Personal Care,Haircut,want
15.78,2023-07-31,Dining Out,Pizzeria Bella,want
31.96,2023-08-01,Transportation,Ride Sharing App,need
75.05,2023-08-01,Groceries,Grocery Store B,need
141.89,2023-08-01,Health,Therapy Session,need
129.54,2023-08-01,Utilities,Internet Provider,need
78.05,2023-08-01,Shopping,Bookshop,want
104.34,2023-08-02,Health,Therapy Session,need
17.69,2023-08-05,Transportation,Bus Pass Kiosk,need
15.69,2023-08-05,Dining Out,Fast Food Z,want
15.43,2023-08-06,Transportation,Petrol Station,need
187.77,2023-08-07,Shopping,Home Decor,want
68.24,2023-08-09,Education,Online Course,need
38.98,2023-08-10,Dining Out,Pizzeria Bella,want
47.03,2023-08-10,Transportation,Bus Pass Kiosk,need
51.32,2023-08-11,Personal Care,Pharmacy,need
6.05,2023-08-11,Personal Care,Spa Center,want
30.68,2023-08-12,Shopping,Bookshop,want
131.57,2023-08-12,Utilities,Internet Provider,need
37.28,2023-08-12,Groceries,Grocery Store B,need
65.75,2023-08-13,Personal Care,Haircut,want
25.29,2023-08-14,Dining Out,Lunch Cafe,want
96.65,2023-08-15,Groceries,Grocery Store B,need
28.04,2023-08-15,Dining Out,Sushi Bar,want
10.64,2023-08-15,Shopping,Clothing Store Sale,need
77.33,2023-08-18,Travel,Hotel Stay,want
467.16,2023-08-18,Travel,Train Ticket,want
109.41,2023-08-19,Utilities,Water Bill,need
71.68,2023-08-19,Health,Gym Membership,need
108.93,2023-08-19,Shopping,Home Decor,want
52.25,2023-08-20,Education,Online Course,need
92.98,2023-08-20,Education,Workshop Fee,need
13.94,2023-08-20,Dining Out,Sushi Bar,want
55.95,2023-08-20,Groceries,Grocery Store B,need
164.9,2023-08-20,Shopping,Online Electronics,want
51.17,2023-08-21,Transportation,Ride Sharing App,need
25.38,2023-08-21,Transportation,Ride Sharing App,need
25.83,2023-08-22,Dining Out,Fast Food Z,want
71.06,2023-08-23,Personal Care,Spa Center,want
38.55,2023-08-24,Dining Out,Lunch Cafe,want
62.85,2023-08-25,Education,Workshop Fee,need
57.9,2023-08-25,Personal Care,Haircut,want
315.65,2023-08-25,Travel,Flight Booking,want
40.29,2023-08-26,Personal Care,Haircut,want
50.37,2023-08-27,Transportation,Ride Sharing App,need
24.85,2023-08-28,Groceries,Supermarket A,need
22.45,2023-08-29,Personal Care,Haircut,want
59.93,2023-08-29,Health,Doctor Visit,need
116.23,2023-08-29,Education,Workshop Fee,need
135.04,2023-08-30,Shopping,Online Electronics,want
32.29,2023-08-30,Shopping,Online Electronics,want
120.61,2023-08-30,Utilities,Electricity Bill,need
34.17,2023-08-31,Dining Out,Sushi Bar,want
43.8,2023-09-01,Entertainment,Cinema Tickets,want
78.98,2023-09-01,Utilities,Water Bill,need
107.29,2023-09-02,Groceries,Supermarket A,need
16.34,2023-09-03,Education,Workshop Fee,need
36.59,2023-09-03,Health,Doctor Visit,need
11.64,2023-09-04,Transportation,Ride Sharing App,need
144.14,2023-09-04,Health,Gym Membership,need
59.29,2023-09-05,Groceries,Supermarket A,need
43.14,2023-09-05,Shopping,Bookshop,want
142.62,2023-09-06,Health,Therapy Session,need
44.43,2023-09-07,Transportation,Ride Sharing App,need
26.63,2023-09-07,Health,Therapy Session,need
19.68,2023-09-08,Personal Care,Spa Center,want
24.28,2023-09-09,Health,Therapy Session,need
86.87,2023-09-10,Utilities,Water Bill,need
33.02,2023-09-11,Entertainment,Cinema Tickets,want
48.19,2023-09-11,Personal Care,Haircut,want
50.15,2023-09-12,Transportation,Ride Sharing App,need
21.09,2023-09-12,Transportation,Petrol Station,need
16.77,2023-09-14,Transportation,Ride Sharing App,need
46.24,2023-09-14,Health,Therapy Session,need
22.59,2023-09-15,Dining Out,Coffee Shop Downtown,want
105.2,2023-09-15,Shopping,Home Decor,want
42.9,2023-09-15,Education,Bookstore,want
75.96,2023-09-15,Personal Care,Pharmacy,need
33.54,2023-09-15,Entertainment,Cinema Tickets,want
146.34,2023-09-15,Shopping,Bookshop,want
20.08,2023-09-16,Personal Care,Spa Center,want
198.84,2023-09-16,Education,Bookstore,want
123.38,2023-09-17,Education,Workshop Fee,need
72.73,2023-09-17,Groceries,Local Supermarket,need
103.09,2023-09-17,Groceries,Local Supermarket,need
39.34,2023-09-17,Groceries,Grocery Store B,need
99.58,2023-09-17,Health,Doctor Visit,need
84.38,2023-09-18,Shopping,Online Electronics,want
136.17,2023-09-18,Shopping,Home Decor,want
44.9,2023-09-19,Utilities,Internet Provider,need
69.17,2023-09-19,Personal Care,Pharmacy,need
55.69,2023-09-19,Transportation,Ride Sharing App,need
54.87,2023-09-20,Health,Doctor Visit,need
42.07,2023-09-21,Groceries,Local Supermarket,need
135.09,2023-09-21,Education,Online Course,need
97.77,2023-09-21,Entertainment,Streaming Service Subscription,want
57.68,2023-09-22,Shopping,Online Electronics,want
313.51,2023-09-22,Travel,Flight Booking,want
70.54,2023-09-22,Health,Gym Membership,need
89.37,2023-09-23,Entertainment,Concert Venue,want
447.08,2023-09-23,Travel,Train Ticket,want
39.16,2023-09-23,Dining Out,Fast Food Z,want
81.91,2023-09-24,Shopping,Clothing Store Sale,need
154.57,2023-09-24,Education,Online Course,need
42.76,2023-09-24,Personal Care,Pharmacy,need
59.91,2023-09-24,Transportation,Ride Sharing App,need
79.38,2023-09-24,Shopping,Clothing Store Sale,need
37.67,2023-09-25,Transportation,Petrol Station,need
46.6,2023-09-25,Transportation,Ride Sharing App,need
120.39,2023-09-26,Health,Therapy Session,need
39.7,2023-09-29,Education,Online Course,need
99.78,2023-09-30,Health,Therapy Session,need
126.17,2023-09-30,Education,Bookstore,want
63.63,2023-09-30,Travel,Train Ticket,want
96.83,2023-09-30,Entertainment,Streaming Service Subscription,want
278.63,2023-10-01,Travel,Hotel Stay,want
116.48,2023-10-01,Travel,Train Ticket,want
99.79,2023-10-01,Entertainment,Cinema Tickets,want
27.43,2023-10-01,Dining Out,Fast Food Z,want
75.45,2023-10-01,Health,Doctor Visit,need
32.85,2023-10-02,Shopping,Online Electronics,want
24.11,2023-10-03,Groceries,Supermarket A,need
89.83,2023-10-03,Groceries,Supermarket A,need
52.49,2023-10-03,Transportation,Bus Pass Kiosk,need
30.55,2023-10-04,Dining Out,Fast Food Z,want
56.18,2023-10-04,Transportation,Ride Sharing App,need
368.38,2023-10-04,Travel,Hotel Stay,want
74.54,2023-10-06,Personal Care,Haircut,want
55.64,2023-10-06,Education,Bookstore,want
119.61,2023-10-07,Health,Doctor Visit,need
128.48,2023-10-07,Education,Workshop Fee,need
40.62,2023-10-07,Entertainment,Cinema Tickets,want
235.34,2023-10-07,Travel,Train Ticket,want
53.02,2023-10-08,Personal Care,Pharmacy,need
31.02,2023-10-09,Dining Out,Sushi Bar,want
33.58,2023-10-09,Dining Out,Pizzeria Bella,want
75.2,2023-10-10,Utilities,Water Bill,need
48.67,2023-10-11,Personal Care,Pharmacy,need
108.9,2023-10-11,Travel,Hotel Stay,want
21.84,2023-10-12,Entertainment,Streaming Service Subscription,want
26.2,2023-10-12,Transportation,Bus Pass Kiosk,need
95.57,2023-10-12,Education,Online Course,need
29.89,2023-10-14,Dining Out,Coffee Shop Downtown,want
36.88,2023-10-14,Groceries,Supermarket A,need
129.79,2023-10-14,Utilities,Internet Provider,need
56.01,2023-10-15,Health,Therapy Session,need
95.7,2023-10-16,Entertainment,Concert Venue,want
84.19,2023-10-16,Groceries,Local Supermarket,need
78.4,2023-10-16,Entertainment,Cinema Tickets,want
89.34,2023-10-17,Entertainment,Cinema Tickets,want
65.41,2023-10-17,Personal Care,Pharmacy,need
44.2,2023-10-18,Personal Care,Spa Center,want
66.24,2023-10-18,Personal Care,Haircut,want
12.05,2023-10-19,Shopping,Bookshop,want
15.01,2023-10-19,Entertainment,Streaming Service Subscription,want
92.23,2023-10-19,Groceries,Local Supermarket,need
120.12,2023-10-20,Health,Doctor Visit,need
113.29,2023-10-20,Education,Online Course,need
15.25,2023-10-20,Entertainment,Streaming Service Subscription,want
30.4,2023-10-21,Dining Out,Coffee Shop Downtown,want
94.54,2023-10-22,Utilities,Internet Provider,need
90.44,2023-10-22,Utilities,Water Bill,need
38.01,2023-10-22,Transportation,Petrol Station,need
117.21,2023-10-22,Utilities,Water Bill,need
99.83,2023-10-22,Utilities,Electricity Bill,need
25.14,2023-10-23,Transportation,Ride Sharing App,need
388.38,2023-10-24,Travel,Hotel Stay,want
22.21,2023-10-24,Health,Therapy Session,need
47.27,2023-10-24,Transportation,Bus Pass Kiosk,need
20.57,2023-10-25,Entertainment,Concert Venue,want
73.89,2023-10-25,Health,Doctor Visit,need
5.94,2023-10-25,Dining Out,Sushi Bar,want
43.74,2023-10-26,Personal Care,Pharmacy,need
97.84,2023-10-28,Education,Workshop Fee,need
21.91,2023-10-28,Transportation,Ride Sharing App,need
127.02,2023-10-28,Health,Gym Membership,need
25.61,2023-10-28,Transportation,Bus Pass Kiosk,need
126.8,2023-10-29,Health,Doctor Visit,need
99.33,2023-10-30,Utilities,Internet Provider,need
135.44,2023-10-30,Health,Doctor Visit,need
32.71,2023-10-30,Shopping,Online Electronics,want
20.27,2023-10-30,Personal Care,Haircut,want
38.91,2023-10-30,Dining Out,Pizzeria Bella,want
429.74,2023-10-31,Travel,Train Ticket,want
61.17,2023-11-01,Utilities,Water Bill,need
103.94,2023-11-01,Health,Gym Membership,need
82.12,2023-11-01,Shopping,Home Decor,want
106.79,2023-11-01,Groceries,Supermarket A,need
59.86,2023-11-02,Health,Therapy Session,need
19.5,2023-11-03,Entertainment,Cinema Tickets,want
14.14,2023-11-03,Personal Care,Haircut,want
52.97,2023-11-04,Entertainment,Streaming Service Subscription,want
45.09,2023-11-04,Transportation,Bus Pass Kiosk,need
72.1,2023-11-04,Utilities,Water Bill,need
448.38,2023-11-04,Travel,Flight Booking,want
16.03,2023-11-05,Transportation,Ride Sharing App,need
173.79,2023-11-05,Travel,Hotel Stay,want
33.09,2023-11-07,Entertainment,Streaming Service Subscription,want
57.18,2023-11-07,Transportation,Petrol Station,need
86.66,2023-11-08,Education,Workshop Fee,need
39.28,2023-11-08,Personal Care,Pharmacy,need
35.21,2023-11-11,Dining Out,Fast Food Z,want
37.2,2023-11-11,Utilities,Internet Provider,need
124.74,2023-11-11,Health,Gym Membership,need
143.38,2023-11-11,Shopping,Online Electronics,want
121.03,2023-11-11,Health,Gym Membership,need
88.45,2023-11-12,Groceries,Local Supermarket,need
32.83,2023-11-12,Health,Gym Membership,need
40.61,2023-11-12,Shopping,Home Decor,want
38.4,2023-11-12,Groceries,Grocery Store B,need
269.83,2023-11-14,Travel,Hotel Stay,want
82.86,2023-11-14,Utilities,Water Bill,need
104.49,2023-11-14,Utilities,Electricity Bill,need
45.22,2023-11-15,Transportation,Petrol Station,need
209.71,2023-11-15,Education,Workshop Fee,need
24.93,2023-11-15,Dining Out,Lunch Cafe,want
178.03,2023-11-15,Shopping,Home Decor,want
88.19,2023-11-15,Shopping,Online Electronics,want
86.11,2023-11-15,Groceries,Supermarket A,need
45.1,2023-11-16,Groceries,Grocery Store B,need
16.18,2023-11-16,Entertainment,Cinema Tickets,want
6.39,2023-11-16,Dining Out,Sushi Bar,want
135.37,2023-11-17,Health,Gym Membership,need
19.02,2023-11-18,Transportation,Petrol Station,need
60.04,2023-11-18,Health,Therapy Session,need
112.3,2023-11-18,Shopping,Online Electronics,want
105.28,2023-11-18,Health,Doctor Visit,need
24.17,2023-11-19,Dining Out,Lunch Cafe,want
22.14,2023-11-19,Personal Care,Haircut,want
156.18,2023-11-19,Education,Bookstore,want
112.43,2023-11-20,Health,Doctor Visit,need
73.71,2023-11-21,Shopping,Home Decor,want
71.91,2023-11-21,Personal Care,Haircut,want
199.49,2023-11-23,Education,Bookstore,want
136.39,2023-11-24,Shopping,Online Electronics,want
96.83,2023-11-24,Travel,Train Ticket,want
29.82,2023-11-25,Transportation,Bus Pass Kiosk,need
33.91,2023-11-25,Groceries,Local Supermarket,need
82.01,2023-11-25,Shopping,Online Electronics,want
28.81,2023-11-26,Entertainment,Cinema Tickets,want
129.48,2023-11-27,Health,Doctor Visit,need
123.9,2023-11-28,Education,Online Course,need
28.45,2023-11-29,Dining Out,Sushi Bar,want
98.18,2023-11-29,Shopping,Bookshop,want
115.52,2023-11-30,Health,Doctor Visit,need
64.56,2023-11-30,Entertainment,Streaming Service Subscription,want
143.9,2023-11-30,Health,Gym Membership,need
88.29,2023-11-30,Groceries,Local Supermarket,need
85.29,2023-11-30,Groceries,Grocery Store B,need
122.63,2023-11-30,Utilities,Water Bill,need
38.77,2023-12-01,Transportation,Ride Sharing App,need
190.31,2023-12-01,Shopping,Home Decor,want
188.57,2023-12-01,Travel,Hotel Stay,want
12.41,2023-12-01,Dining Out,Sushi Bar,want
16.32,2023-12-01,Transportation,Bus Pass Kiosk,need
116.35,2023-12-02,Groceries,Local Supermarket,need
428.22,2023-12-02,Travel,Flight Booking,want
131.35,2023-12-03,Utilities,Water Bill,need
135.51,2023-12-03,Education,Workshop Fee,need
484.67,2023-12-06,Travel,Flight Booking,want
313.47,2023-12-07,Travel,Train Ticket,want
136.26,2023-12-07,Health,Doctor Visit,need
12.85,2023-12-07,Dining Out,Sushi Bar,want
46.13,2023-12-08,Health,Doctor Visit,need
40.79,2023-12-08,Personal Care,Haircut,want
37.39,2023-12-09,Shopping,Bookshop,want
46.4,2023-12-10,Groceries,Supermarket A,need
119.82,2023-12-10,Health,Doctor Visit,need
48.29,2023-12-10,Utilities,Electricity Bill,need
115.56,2023-12-10,Groceries,Grocery Store B,need
66.02,2023-12-12,Utilities,Internet Provider,need
189.34,2023-12-12,Shopping,Bookshop,want
80.9,2023-12-13,Health,Doctor Visit,need
75.29,2023-12-13,Groceries,Local Supermarket,need
114.66,2023-12-14,Utilities,Electricity Bill,need
136.98,2023-12-14,Utilities,Internet Provider,need
46.38,2023-12-15,Groceries,Grocery Store B,need
52.21,2023-12-15,Health,Gym Membership,need
26.12,2023-12-15,Health,Gym Membership,need
140.09,2023-12-15,Education,Bookstore,want
449.95,2023-12-15,Travel,Train Ticket,want
18.8,2023-12-15,Dining Out,Pizzeria Bella,want
65.39,2023-12-16,Entertainment,Streaming Service Subscription,want
34.83,2023-12-16,Entertainment,Cinema Tickets,want
63.85,2023-12-16,Health,Gym Membership,need
339.97,2023-12-16,Travel,Hotel Stay,want
150.92,2023-12-16,Education,Workshop Fee,need
162.65,2023-12-17,Education,Online Course,need
130.58,2023-12-17,Shopping,Bookshop,want
54.22,2023-12-17,Entertainment,Streaming Service Subscription,want
38.55,2023-12-17,Education,Workshop Fee,need
93.28,2023-12-18,Shopping,Bookshop,want
85.35,2023-12-18,Shopping,Home Decor,want
130.66,2023-12-19,Utilities,Electricity Bill,need
166.38,2023-12-19,Travel,Flight Booking,want
10.41,2023-12-19,Shopping,Bookshop,want
15.86,2023-12-20,Transportation,Petrol Station,need
18.35,2023-12-21,Shopping,Bookshop,want
60.03,2023-12-21,Personal Care,Spa Center,want
12.21,2023-12-22,Transportation,Petrol Station,need
17.49,2023-12-22,Dining Out,Lunch Cafe,want
78.62,2023-12-22,Entertainment,Concert Venue,want
90.77,2023-12-23,Groceries,Grocery Store B,need
21.73,2023-12-23,Shopping,Online Electronics,want
19.84,2023-12-23,Personal Care,Haircut,want
36.71,2023-12-24,Transportation,Bus Pass Kiosk,need
51.84,2023-12-24,Utilities,Internet Provider,need
92.6,2023-12-25,Education,Workshop Fee,need
99.46,2023-12-25,Health,Therapy Session,need
45.56,2023-12-25,Entertainment,Cinema Tickets,want
241.89,2023-12-26,Education,Online Course,need
15.9,2023-12-27,Personal Care,Haircut,want
20.34,2023-12-27,Dining Out,Coffee Shop Downtown,want
48.89,2023-12-28,Entertainment,Cinema Tickets,want
