amount,date,category,description/merchant,expense_type
63.78,2024-08-25,Groceries,Grocery Store B,need
38.49,2024-08-26,Personal Care,Pharmacy,need
10.48,2024-08-26,Transportation,Petrol Station,need
280.97,2024-08-27,Travel,Hotel Stay,want
13.42,2024-08-29,Dining Out,Coffee Shop Downtown,want
8.77,2024-08-29,Personal Care,Haircut,want
424.75,2024-08-29,Travel,Train Ticket,want
446.65,2024-08-30,Travel,Train Ticket,want
17.09,2024-08-30,Dining Out,Fast Food Z,want
62.97,2024-08-30,Shopping,Home Decor,want
94.91,2024-08-30,Education,Online Course,need
38.24,2024-08-31,Personal Care,Haircut,want
35.31,2024-08-31,Dining Out,Pizzeria Bella,want
55.94,2024-08-31,Groceries,Supermarket A,need
12.38,2024-08-31,Transportation,Bus Pass Kiosk,need
217.38,2024-08-31,Education,Bookstore,want
42.36,2024-09-01,Utilities,Water Bill,need
111.51,2024-09-01,Education,Workshop Fee,need
63.89,2024-09-01,Health,Therapy Session,need
8.08,2024-09-02,Dining Out,Fast Food Z,want
49.38,2024-09-02,Entertainment,Streaming Service Subscription,want
20.73,2024-09-02,Transportation,Ride Sharing App,need
10.7,2024-09-05,Entertainment,Streaming Service Subscription,want
98.52,2024-09-05,Entertainment,Concert Venue,want
140.78,2024-09-07,Utilities,Internet Provider,need
141.72,2024-09-07,Health,Gym Membership,need
16.82,2024-09-07,Dining Out,Fast Food Z,want
169.91,2024-09-08,Shopping,Online Electronics,want
79.52,2024-09-08,Health,Gym Membership,need
149.93,2024-09-08,Health,Doctor Visit,need
143.94,2024-09-08,Travel,Hotel Stay,want
54.8,2024-09-09,Personal Care,Spa Center,want
50.85,2024-09-09,Shopping,Clothing Store Sale,need
131.71,2024-09-10,Utilities,Water Bill,need
129.59,2024-09-10,Health,Therapy Session,need
44.58,2024-09-10,Personal Care,Spa Center,want
118.54,2024-09-11,Utilities,Electricity Bill,need
125.59,2024-09-11,Health,Gym Membership,need
103.73,2024-09-12,Groceries,Local Supermarket,need
61.33,2024-09-13,Utilities,Water Bill,need
37.0,2024-09-13,Health,Doctor Visit,need
45.84,2024-09-13,Education,Online Course,need
74.09,2024-09-14,Travel,Flight Booking,want
35.12,2024-09-14,Shopping,Online Electronics,want
9.75,2024-09-14,Personal Care,Haircut,want
63.2,2024-09-15,Groceries,Local Supermarket,need
96.56,2024-09-15,Shopping,Home Decor,want
129.21,2024-09-15,Education,Online Course,need
94.03,2024-09-16,Utilities,Internet Provider,need
253.66,2024-09-16,Travel,Hotel Stay,want
119.16,2024-09-18,Groceries,Grocery Store B,need
46.88,2024-09-19,Education,Workshop Fee,need
10.87,2024-09-19,Entertainment,Cinema Tickets,want
31.86,2024-09-20,Transportation,Petrol Station,need
184.74,2024-09-20,Travel,Hotel Stay,want
31.49,2024-09-21,Dining Out,Lunch Cafe,want
14.34,2024-09-21,Entertainment,Concert Venue,want
23.59,2024-09-21,Groceries,Grocery Store B,need
179.96,2024-09-21,Shopping,Clothing Store Sale,need
56.62,2024-09-21,Health,Therapy Session,need
153.62,2024-09-22,Education,Bookstore,want
67.73,2024-09-22,Personal Care,Spa Center,want
30.86,2024-09-23,Dining Out,Lunch Cafe,want
143.75,2024-09-24,Education,Workshop Fee,need
13.35,2024-09-24,Transportation,Petrol Station,need
31.21,2024-09-25,Education,Online Course,need
81.63,2024-09-26,Groceries,Grocery Store B,need
39.02,2024-09-26,Groceries,Grocery Store B,need
36.25,2024-09-27,Groceries,Supermarket A,need
72.29,2024-09-27,Shopping,Bookshop,want
85.43,2024-09-28,Entertainment,Concert Venue,want
191.43,2024-09-28,Travel,Flight Booking,want
479.45,2024-09-29,Travel,Flight Booking,want
79.83,2024-09-30,Travel,Flight Booking,want
27.86,2024-09-30,Health,Gym Membership,need
149.37,2024-10-01,Shopping,Home Decor,want
55.09,2024-10-01,Entertainment,Streaming Service Subscription,want
53.89,2024-10-01,Transportation,Bus Pass Kiosk,need
109.32,2024-10-01,Education,Online Course,need
36.69,2024-10-01,Health,Doctor Visit,need
110.81,2024-10-01,Groceries,Grocery Store B,need
73.19,2024-10-02,Personal Care,Spa Center,want
21.19,2024-10-02,Personal Care,Pharmacy,need
36.13,2024-10-03,Personal Care,Spa Center,want
20.37,2024-10-03,Personal Care,Haircut,want
163.85,2024-10-03,Education,Online Course,need
103.37,2024-10-04,Health,Therapy Session,need
49.76,2024-10-05,Groceries,Local Supermarket,need
15.5,2024-10-05,Dining Out,Fast Food Z,want
193.32,2024-10-06,Shopping,Clothing Store Sale,need
54.21,2024-10-06,Transportation,Bus Pass Kiosk,need
52.47,2024-10-06,Transportation,Bus Pass Kiosk,need
58.78,2024-10-07,Personal Care,Haircut,want
14.85,2024-10-08,Dining Out,Sushi Bar,want
19.04,2024-10-08,Dining Out,Lunch Cafe,want
42.5,2024-10-08,Health,Therapy Session,need
69.19,2024-10-09,Education,Bookstore,want
47.98,2024-10-10,Utilities,Internet Provider,need
51.39,2024-10-10,Transportation,Bus Pass Kiosk,need
40.3,2024-10-10,Transportation,Ride Sharing App,need
53.48,2024-10-11,Entertainment,Cinema Tickets,want
35.3,2024-10-12,Transportation,Bus Pass Kiosk,need
28.81,2024-10-13,Health,Doctor Visit,need
77.33,2024-10-13,Utilities,Internet Provider,need
147.64,2024-10-14,Utilities,Internet Provider,need
414.01,2024-10-15,Travel,Hotel Stay,want
19.75,2024-10-15,Dining Out,Pizzeria Bella,want
42.06,2024-10-15,Shopping,Home Decor,want
35.64,2024-10-17,Personal Care,Pharmacy,need
45.28,2024-10-17,Health,Gym Membership,need
72.13,2024-10-17,Entertainment,Cinema Tickets,want
49.11,2024-10-18,Health,Doctor Visit,need
44.5,2024-10-18,Personal Care,Pharmacy,need
52.73,2024-10-18,Entertainment,Cinema Tickets,want
232.5,2024-10-19,Education,Bookstore,want
422.56,2024-10-20,Travel,Hotel Stay,want
57.35,2024-10-20,Utilities,Electricity Bill,need
44.05,2024-10-20,Entertainment,Cinema Tickets,want
25.31,2024-10-20,Transportation,Bus Pass Kiosk,need
20.63,2024-10-20,Transportation,Bus Pass Kiosk,need
55.29,2024-10-21,Transportation,Ride Sharing App,need
36.32,2024-10-21,Entertainment,Cinema Tickets,want
53.49,2024-10-22,Health,Therapy Session,need
118.44,2024-10-22,Utilities,Electricity Bill,need
39.06,2024-10-23,Transportation,Petrol Station,need
30.21,2024-10-24,Health,Doctor Visit,need
15.44,2024-10-24,Dining Out,Lunch Cafe,want
55.26,2024-10-25,Personal Care,Pharmacy,need
59.49,2024-10-25,Entertainment,Cinema Tickets,want
30.11,2024-10-26,Transportation,Bus Pass Kiosk,need
172.4,2024-10-26,Education,Online Course,need
33.99,2024-10-26,Utilities,Electricity Bill,need
149.79,2024-10-26,Shopping,Clothing Store Sale,need
41.86,2024-10-27,Groceries,Supermarket A,need
15.02,2024-10-27,Dining Out,Fast Food Z,want
89.2,2024-10-27,Education,Bookstore,want
114.94,2024-10-28,Utilities,Electricity Bill,need
23.39,2024-10-29,Shopping,Clothing Store Sale,need
19.36,2024-10-29,Dining Out,Sushi Bar,want
218.24,2024-10-30,Education,Workshop Fee,need
46.35,2024-10-30,Personal Care,Pharmacy,need
82.74,2024-10-31,Utilities,Electricity Bill,need
15.32,2024-11-01,Dining Out,Pizzeria Bella,want
34.74,2024-11-01,Entertainment,Concert Venue,want
87.8,2024-11-01,Education,Online Course,need
27.3,2024-11-02,Dining Out,Pizzeria Bella,want
69.54,2024-11-02,Entertainment,Concert Venue,want
138.04,2024-11-02,Utilities,Water Bill,need
45.29,2024-11-02,Personal Care,Haircut,want
110.76,2024-11-02,Health,Doctor Visit,need
58.11,2024-11-03,Transportation,Bus Pass Kiosk,need
119.57,2024-11-03,Groceries,Grocery Store B,need
89.61,2024-11-04,Utilities,Electricity Bill,need
110.56,2024-11-05,Groceries,Supermarket A,need
247.2,2024-11-06,Travel,Flight Booking,want
211.65,2024-11-06,Travel,Hotel Stay,want
37.07,2024-11-08,Transportation,Ride Sharing App,need
75.82,2024-11-08,Health,Doctor Visit,need
103.84,2024-11-08,Travel,Hotel Stay,want
170.99,2024-11-09,Shopping,Clothing Store Sale,need
58.87,2024-11-09,Transportation,Ride Sharing App,need
80.12,2024-11-10,Shopping,Online Electronics,want
53.32,2024-11-10,Transportation,Bus Pass Kiosk,need
25.69,2024-11-10,Dining Out,Pizzeria Bella,want
71.28,2024-11-10,Entertainment,Streaming Service Subscription,want
229.81,2024-11-10,Travel,Flight Booking,want
121.96,2024-11-11,Utilities,Water Bill,need
88.98,2024-11-13,Utilities,Internet Provider,need
360.93,2024-11-14,Travel,Flight Booking,want
34.97,2024-11-14,Personal Care,Spa Center,want
329.11,2024-11-15,Travel,Flight Booking,want
40.25,2024-11-15,Education,Bookstore,want
34.81,2024-11-15,Shopping,Online Electronics,want
113.12,2024-11-15,Groceries,Local Supermarket,need
20.69,2024-11-15,Groceries,Local Supermarket,need
82.26,2024-11-16,Entertainment,Concert Venue,want
20.71,2024-11-17,Health,Doctor Visit,need
283.21,2024-11-17,Travel,Flight Booking,want
69.63,2024-11-18,Entertainment,Streaming Service Subscription,want
61.01,2024-11-18,Entertainment,Cinema Tickets,want
170.97,2024-11-19,Education,Workshop Fee,need
26.12,2024-11-19,Groceries,Local Supermarket,need
111.08,2024-11-20,Utilities,Water Bill,need
213.55,2024-11-21,Education,Online Course,need
158.07,2024-11-21,Shopping,Online Electronics,want
40.51,2024-11-21,Health,Doctor Visit,need
23.07,2024-11-22,Transportation,Ride Sharing App,need
29.75,2024-11-22,Dining Out,Lunch Cafe,want
301.77,2024-11-22,Travel,Train Ticket,want
32.14,2024-11-23,Groceries,Supermarket A,need
143.46,2024-11-23,Health,Gym Membership,need
127.25,2024-11-24,Shopping,Bookshop,want
361.47,2024-11-25,Travel,Train Ticket,want
5.65,2024-11-26,Personal Care,Spa Center,want
49.6,2024-11-26,Transportation,Ride Sharing App,need
161.09,2024-11-27,Shopping,Online Electronics,want
56.71,2024-11-28,Transportation,Bus Pass Kiosk,need
126.1,2024-11-29,Utilities,Internet Provider,need
96.41,2024-11-30,Health,Doctor Visit,need
48.42,2024-11-30,Transportation,Bus Pass Kiosk,need
80.39,2024-11-30,Travel,Hotel Stay,want
132.62,2024-11-30,Utilities,Water Bill,need
56.58,2024-12-01,Transportation,Petrol Station,need
88.01,2024-12-01,Health,Doctor Visit,need
116.54,2024-12-01,Health,Doctor Visit,need
50.15,2024-12-01,Travel,Flight Booking,want
49.76,2024-12-01,Transportation,Bus Pass Kiosk,need
10.11,2024-12-02,Entertainment,Concert Venue,want
57.5,2024-12-02,Utilities,Internet Provider,need
81.58,2024-12-04,Entertainment,Cinema Tickets,want
131.09,2024-12-04,Utilities,Electricity Bill,need
30.13,2024-12-05,Dining Out,Pizzeria Bella,want
50.16,2024-12-06,Entertainment,Cinema Tickets,want
65.46,2024-12-06,Personal Care,Haircut,want
56.1,2024-12-07,Personal Care,Pharmacy,need
32.59,2024-12-07,Dining Out,Sushi Bar,want
456.02,2024-12-07,Travel,Train Ticket,want
44.01,2024-12-07,Shopping,Bookshop,want
198.13,2024-12-08,Travel,Hotel Stay,want
34.15,2024-12-09,Groceries,Supermarket A,need
29.52,2024-12-09,Dining Out,Sushi Bar,want
142.41,2024-12-09,Health,Gym Membership,need
50.66,2024-12-12,Travel,Flight Booking,want
14.13,2024-12-12,Dining Out,Fast Food Z,want
6.49,2024-12-14,Dining Out,Fast Food Z,want
5.76,2024-12-14,Dining Out,Lunch Cafe,want
38.21,2024-12-15,Education,Bookstore,want
182.12,2024-12-15,Travel,Flight Booking,want
74.45,2024-12-15,Entertainment,Streaming Service Subscription,want
59.38,2024-12-16,Personal Care,Spa Center,want
55.93,2024-12-16,Transportation,Bus Pass Kiosk,need
101.65,2024-12-16,Shopping,Clothing Store Sale,need
108.92,2024-12-17,Groceries,Grocery Store B,need
71.95,2024-12-18,Entertainment,Streaming Service Subscription,want
62.69,2024-12-19,Entertainment,Concert Venue,want
17.46,2024-12-20,Transportation,Bus Pass Kiosk,need
16.23,2024-12-20,Entertainment,Streaming Service Subscription,want
53.67,2024-12-21,Health,Gym Membership,need
87.75,2024-12-21,Groceries,Grocery Store B,need
126.25,2024-12-21,Travel,Hotel Stay,want
99.66,2024-12-21,Health,Gym Membership,need
40.27,2024-12-21,Groceries,Supermarket A,need
177.36,2024-12-22,Shopping,Online Electronics,want
8.45,2024-12-22,Dining Out,Sushi Bar,want
49.54,2024-12-22,Entertainment,Cinema Tickets,want
232.81,2024-12-22,Education,Workshop Fee,need
27.64,2024-12-23,Personal Care,Spa Center,want
317.33,2024-12-23,Travel,Train Ticket,want
59.73,2024-12-24,Groceries,Local Supermarket,need
34.99,2024-12-25,Dining Out,Sushi Bar,want
30.32,2024-12-26,Utilities,Electricity Bill,need
107.93,2024-12-27,Education,Online Course,need
31.08,2024-12-27,Personal Care,Spa Center,want
35.39,2024-12-28,Dining Out,Coffee Shop Downtown,want
42.79,2024-12-28,Transportation,Bus Pass Kiosk,need
91.65,2024-12-28,Groceries,Supermarket A,need
59.21,2024-12-28,Transportation,Petrol Station,need
143.23,2024-12-29,Shopping,Bookshop,want
63.85,2024-12-29,Education,Bookstore,want
56.66,2024-12-30,Groceries,Grocery Store B,need
41.15,2024-12-30,Entertainment,Streaming Service Subscription,want
27.1,2024-12-30,Dining Out,Fast Food Z,want
102.07,2024-12-30,Groceries,Grocery Store B,need
20.63,2024-12-30,Dining Out,Pizzeria Bella,want
41.72,2024-12-30,Utilities,Internet Provider,need
283.52,2024-12-31,Travel,Flight Booking,want
95.44,2025-01-01,Health,Gym Membership,need
129.88,2025-01-01,Health,Doctor Visit,need
28.61,2025-01-01,Personal Care,Spa Center,want
125.63,2025-01-01,Utilities,Water Bill,need
65.04,2025-01-01,Utilities,Internet Provider,need
51.13,2025-01-02,Health,Doctor Visit,need
29.53,2025-01-02,Entertainment,Concert Venue,want
90.72,2025-01-02,Entertainment,Streaming Service Subscription,want
104.81,2025-01-04,Shopping,Online Electronics,want
63.32,2025-01-04,Entertainment,Concert Venue,want
24.17,2025-01-04,Personal Care,Haircut,want
34.92,2025-01-04,Transportation,Bus Pass Kiosk,need
33.26,2025-01-05,Transportation,Ride Sharing App,need
75.23,2025-01-08,Education,Bookstore,want
21.74,2025-01-09,Dining Out,Sushi Bar,want
79.05,2025-01-09,Entertainment,Cinema Tickets,want
156.63,2025-01-10,Shopping,Clothing Store Sale,need
221.27,2025-01-10,Travel,Hotel Stay,want
68.06,2025-01-10,Utilities,Internet Provider,need
120.92,2025-01-11,Utilities,Water Bill,need
477.31,2025-01-11,Travel,Train Ticket,want
96.47,2025-01-11,Groceries,Local Supermarket,need
132.54,2025-01-12,Health,Gym Membership,need
12.21,2025-01-12,Personal Care,Spa Center,want
110.4,2025-01-13,Health,Therapy Session,need
30.63,2025-01-14,Dining Out,Fast Food Z,want
11.16,2025-01-14,Dining Out,Fast Food Z,want
30.84,2025-01-15,Groceries,Grocery Store B,need
60.06,2025-01-15,Utilities,Water Bill,need
447.12,2025-01-15,Travel,Flight Booking,want
10.99,2025-01-15,Dining Out,Fast Food Z,want
241.11,2025-01-16,Education,Online Course,need
58.48,2025-01-16,Groceries,Grocery Store B,need
48.62,2025-01-16,Personal Care,Haircut,want
103.48,2025-01-17,Travel,Flight Booking,want
36.85,2025-01-17,Dining Out,Coffee Shop Downtown,want
41.58,2025-01-17,Personal Care,Pharmacy,need
45.09,2025-01-18,Transportation,Petrol Station,need
36.28,2025-01-18,Personal Care,Pharmacy,need
69.24,2025-01-19,Groceries,Local Supermarket,need
28.15,2025-01-19,Transportation,Petrol Station,need
423.82,2025-01-19,Travel,Flight Booking,want
232.87,2025-01-19,Travel,Hotel Stay,want
318.78,2025-01-19,Travel,Flight Booking,want
60.0,2025-01-21,Personal Care,Spa Center,want
17.88,2025-01-23,Dining Out,Fast Food Z,want
36.75,2025-01-24,Health,Gym Membership,need
56.1,2025-01-24,Transportation,Ride Sharing App,need
213.26,2025-01-25,Education,Online Course,need
50.25,2025-01-26,Travel,Hotel Stay,want
21.5,2025-01-26,Entertainment,Concert Venue,want
62.93,2025-01-26,Personal Care,Spa Center,want
52.22,2025-01-26,Entertainment,Concert Venue,want
105.93,2025-01-27,Shopping,Clothing Store Sale,need
158.38,2025-01-27,Shopping,Bookshop,want
27.87,2025-01-27,Education,Workshop Fee,need
119.27,2025-01-29,Education,Bookstore,want
277.09,2025-01-29,Travel,Hotel Stay,want
104.73,2025-01-30,Travel,Flight Booking,want
66.93,2025-01-30,Entertainment,Cinema Tickets,want
65.7,2025-01-30,Entertainment,Streaming Service Subscription,want
36.2,2025-01-30,Personal Care,Spa Center,want
25.66,2025-01-30,Shopping,Home Decor,want
33.36,2025-01-31,Groceries,Grocery Store B,need
22.72,2025-02-01,Transportation,Ride Sharing App,need
25.23,2025-02-02,Entertainment,Concert Venue,want
96.82,2025-02-02,Entertainment,Concert Venue,want
46.68,2025-02-03,Entertainment,Concert Venue,want
198.87,2025-02-03,Education,Workshop Fee,need
66.82,2025-02-03,Entertainment,Streaming Service Subscription,want
29.62,2025-02-04,Transportation,Ride Sharing App,need
99.75,2025-02-04,Utilities,Internet Provider,need
115.87,2025-02-05,Education,Workshop Fee,need
41.96,2025-02-05,Transportation,Ride Sharing App,need
58.29,2025-02-06,Groceries,Supermarket A,need
161.54,2025-02-07,Shopping,Clothing Store Sale,need
35.73,2025-02-08,Transportation,Petrol Station,need
140.61,2025-02-09,Education,Online Course,need
305.21,2025-02-09,Travel,Hotel Stay,want
86.48,2025-02-12,Utilities,Water Bill,need
106.61,2025-02-12,Utilities,Electricity Bill,need
134.2,2025-02-13,Health,Gym Membership,need
100.92,2025-02-15,Groceries,Supermarket A,need
48.97,2025-02-15,Personal Care,Spa Center,want
114.4,2025-02-15,Groceries,Supermarket A,need
168.83,2025-02-15,Education,Online Course,need
464.75,2025-02-16,Travel,Train Ticket,want
136.76,2025-02-16,Health,Doctor Visit,need
88.78,2025-02-16,Groceries,Grocery Store B,need
55.37,2025-02-17,Entertainment,Streaming Service Subscription,want
393.42,2025-02-17,Travel,Flight Booking,want
93.5,2025-02-18,Health,Gym Membership,need
51.37,2025-02-19,Travel,Flight Booking,want
141.56,2025-02-20,Utilities,Internet Provider,need
15.7,2025-02-22,Transportation,Ride Sharing App,need
32.71,2025-02-22,Education,Workshop Fee,need
390.19,2025-02-23,Travel,Train Ticket,want
22.29,2025-02-23,Health,Doctor Visit,need
117.09,2025-02-23,Shopping,Home Decor,want
36.87,2025-02-23,Transportation,Bus Pass Kiosk,need
112.15,2025-02-23,Utilities,Electricity Bill,need
271.78,2025-02-25,Travel,Hotel Stay,want
48.5,2025-02-25,Entertainment,Cinema Tickets,want
24.94,2025-02-26,Shopping,Bookshop,want
14.72,2025-02-27,Dining Out,Lunch Cafe,want
78.61,2025-02-27,Shopping,Home Decor,want
41.25,2025-03-01,Personal Care,Haircut,want
107.41,2025-03-01,Groceries,Grocery Store B,need
125.46,2025-03-01,Health,Therapy Session,need
66.83,2025-03-02,Education,Online Course,need
79.29,2025-03-02,Shopping,Online Electronics,want
23.87,2025-03-02,Entertainment,Concert Venue,want
113.98,2025-03-03,Shopping,Online Electronics,want
26.46,2025-03-04,Dining Out,Lunch Cafe,want
29.4,2025-03-04,Personal Care,Pharmacy,need
218.34,2025-03-04,Education,Bookstore,want
68.63,2025-03-05,Personal Care,Haircut,want
32.41,2025-03-06,Transportation,Ride Sharing App,need
86.12,2025-03-08,Entertainment,Streaming Service Subscription,want
101.34,2025-03-08,Shopping,Online Electronics,want
56.63,2025-03-08,Entertainment,Concert Venue,want
65.39,2025-03-08,Groceries,Supermarket A,need
67.81,2025-03-08,Utilities,Water Bill,need
133.25,2025-03-09,Education,Bookstore,want
82.13,2025-03-09,Entertainment,Concert Venue,want
82.4,2025-03-10,Utilities,Internet Provider,need
73.11,2025-03-10,Utilities,Electricity Bill,need
46.43,2025-03-10,Transportation,Ride Sharing App,need
13.39,2025-03-12,Personal Care,Haircut,want
30.07,2025-03-13,Entertainment,Cinema Tickets,want
142.28,2025-03-13,Travel,Hotel Stay,want
42.62,2025-03-14,Transportation,Petrol Station,need
198.95,2025-03-14,Education,Workshop Fee,need
94.14,2025-03-15,Utilities,Water Bill,need
63.02,2025-03-15,Entertainment,Cinema Tickets,want
27.53,2025-03-15,Education,Workshop Fee,need
78.87,2025-03-16,Personal Care,Haircut,want
457.91,2025-03-16,Travel,Hotel Stay,want
78.75,2025-03-16,Entertainment,Cinema Tickets,want
77.06,2025-03-17,Groceries,Supermarket A,need
62.08,2025-03-17,Health,Doctor Visit,need
35.05,2025-03-18,Transportation,Petrol Station,need
8.49,2025-03-18,Dining Out,Coffee Shop Downtown,want
49.16,2025-03-19,Transportation,Petrol Station,need
163.25,2025-03-20,Shopping,Clothing Store Sale,need
111.69,2025-03-20,Shopping,Online Electronics,want
97.03,2025-03-20,Entertainment,Concert Venue,want
110.8,2025-03-21,Health,Therapy Session,need
109.31,2025-03-21,Utilities,Water Bill,need
6.27,2025-03-22,Dining Out,Coffee Shop Downtown,want
59.03,2025-03-23,Utilities,Internet Provider,need
12.93,2025-03-23,Transportation,Petrol Station,need
381.42,2025-03-23,Travel,Flight Booking,want
12.67,2025-03-23,Transportation,Ride Sharing App,need
76.66,2025-03-23,Entertainment,Concert Venue,want
23.87,2025-03-24,Personal Care,Pharmacy,need
227.9,2025-03-26,Education,Online Course,need
88.7,2025-03-26,Education,Online Course,need
12.28,2025-03-27,Entertainment,Cinema Tickets,want
33.01,2025-03-28,Dining Out,Coffee Shop Downtown,want
8.95,2025-03-29,Dining Out,Fast Food Z,want
66.98,2025-03-29,Personal Care,Pharmacy,need
64.19,2025-03-30,Personal Care,Pharmacy,need
108.43,2025-03-30,Utilities,Internet Provider,need
126.02,2025-03-30,Travel,Hotel Stay,want
47.2,2025-03-30,Groceries,Grocery Store B,need
113.08,2025-03-30,Utilities,Internet Provider,need
103.19,2025-03-31,Groceries,Grocery Store B,need
142.35,2025-04-01,Health,Therapy Session,need
59.16,2025-04-01,Education,Online Course,need
29.62,2025-04-01,Personal Care,Spa Center,want
62.42,2025-04-01,Utilities,Electricity Bill,need
60.14,2025-04-01,Entertainment,Cinema Tickets,want
29.68,2025-04-01,Dining Out,Coffee Shop Downtown,want
100.31,2025-04-02,Education,Bookstore,want
115.81,2025-04-02,Utilities,Electricity Bill,need
103.51,2025-04-02,Groceries,Local Supermarket,need
38.17,2025-04-03,Dining Out,Sushi Bar,want
45.13,2025-04-04,Shopping,Home Decor,want
70.7,2025-04-04,Entertainment,Concert Venue,want
71.1,2025-04-05,Personal Care,Pharmacy,need
141.93,2025-04-05,Shopping,Online Electronics,want
56.08,2025-04-05,Entertainment,Streaming Service Subscription,want
32.14,2025-04-06,Transportation,Bus Pass Kiosk,need
70.43,2025-04-06,Personal Care,Haircut,want
55.33,2025-04-06,Transportation,Ride Sharing App,need
52.74,2025-04-07,Utilities,Electricity Bill,need
159.46,2025-04-07,Shopping,Home Decor,want
205.5,2025-04-07,Travel,Hotel Stay,want
88.3,2025-04-09,Utilities,Water Bill,need
27.89,2025-04-11,Dining Out,Lunch Cafe,want
26.27,2025-04-11,Education,Workshop Fee,need
16.87,2025-04-12,Transportation,Petrol Station,need
58.59,2025-04-12,Transportation,Bus Pass Kiosk,need
115.63,2025-04-12,Education,Bookstore,want
12.54,2025-04-12,Personal Care,Spa Center,want
14.7,2025-04-13,Personal Care,Spa Center,want
64.2,2025-04-13,Health,Therapy Session,need
10.69,2025-04-15,Transportation,Petrol Station,need
224.01,2025-04-15,Travel,Flight Booking,want
40.44,2025-04-15,Transportation,Petrol Station,need
93.54,2025-04-15,Health,Gym Membership,need
92.98,2025-04-15,Entertainment,Streaming Service Subscription,want
86.81,2025-04-15,Health,Therapy Session,need
18.33,2025-04-16,Education,Bookstore,want
124.31,2025-04-17,Health,Doctor Visit,need
149.71,2025-04-17,Health,Doctor Visit,need
136.85,2025-04-18,Shopping,Bookshop,want
6.55,2025-04-19,Dining Out,Pizzeria Bella,want
50.58,2025-04-19,Entertainment,Streaming Service Subscription,want
139.0,2025-04-19,Health,Doctor Visit,need
55.32,2025-04-19,Transportation,Ride Sharing App,need
196.36,2025-04-20,Shopping,Online Electronics,want
36.81,2025-04-20,Utilities,Water Bill,need
47.74,2025-04-20,Utilities,Electricity Bill,need
45.17,2025-04-20,Utilities,Water Bill,need
77.26,2025-04-20,Shopping,Clothing Store Sale,need
37.5,2025-04-22,Groceries,Grocery Store B,need
68.03,2025-04-22,Personal Care,Haircut,want
34.0,2025-04-23,Transportation,Ride Sharing App,need
13.2,2025-04-23,Transportation,Bus Pass Kiosk,need
132.56,2025-04-25,Health,Therapy Session,need
112.71,2025-04-25,Groceries,Supermarket A,need
33.27,2025-04-26,Dining Out,Fast Food Z,want
92.61,2025-04-26,Travel,Flight Booking,want
108.53,2025-04-26,Utilities,Water Bill,need
123.12,2025-04-27,Utilities,Internet Provider,need
69.77,2025-04-27,Entertainment,Cinema Tickets,want
60.64,2025-04-27,Groceries,Local Supermarket,need
108.0,2025-04-27,Health,Therapy Session,need
87.68,2025-04-27,Groceries,Supermarket A,need
124.09,2025-04-28,Health,Gym Membership,need
69.01,2025-04-28,Personal Care,Spa Center,want
241.66,2025-04-29,Education,Online Course,need
64.1,2025-04-29,Groceries,Grocery Store B,need
141.59,2025-04-30,Health,Gym Membership,need
31.5,2025-04-30,Groceries,Supermarket A,need
144.63,2025-04-30,Shopping,Online Electronics,want
119.1,2025-05-01,Groceries,Supermarket A,need
44.92,2025-05-01,Personal Care,Spa Center,want
27.24,2025-05-01,Dining Out,Coffee Shop Downtown,want
64.66,2025-05-03,Shopping,Home Decor,want
40.64,2025-05-03,Entertainment,Cinema Tickets,want
37.52,2025-05-04,Dining Out,Pizzeria Bella,want
167.94,2025-05-04,Education,Workshop Fee,need
