amount,date,category,description/merchant
30.77,2024-01-01,Dining Out,Sushi Bar
21.2,2024-01-01,Transportation,Bus Pass Kiosk
36.25,2024-01-01,Personal Care,Spa Center
64.29,2024-01-02,Entertainment,Streaming Service Subscription
106.82,2024-01-05,Shopping,Home Decor
149.14,2024-01-06,Health,Doctor Visit
50.57,2024-01-06,Entertainment,Concert Venue
53.45,2024-01-07,Groceries,Supermarket A
73.53,2024-01-07,Groceries,Grocery Store B
24.39,2024-01-07,Transportation,Bus Pass Kiosk
240.66,2024-01-07,Travel,Hotel Stay
168.31,2024-01-08,Travel,Hotel Stay
38.88,2024-01-09,Transportation,Petrol Station
41.64,2024-01-09,Health,Gym Membership
128.0,2024-01-09,Travel,Flight Booking
52.49,2024-01-11,Transportation,Ride Sharing App
20.68,2024-01-12,Dining Out,Fast Food Z
36.91,2024-01-12,Dining Out,Pizzeria Bella
46.91,2024-01-12,Education,Workshop Fee
113.6,2024-01-13,Shopping,Bookshop
5.28,2024-01-13,Personal Care,Pharmacy
103.28,2024-01-13,Utilities,Electricity Bill
227.29,2024-01-14,Education,Bookstore
109.82,2024-01-14,Health,Therapy Session
38.98,2024-01-15,Transportation,Bus Pass Kiosk
18.37,2024-01-15,Personal Care,Pharmacy
94.18,2024-01-17,Education,Bookstore
88.43,2024-01-18,Health,Doctor Visit
86.74,2024-01-18,Entertainment,Streaming Service Subscription
162.48,2024-01-19,Shopping,Online Electronics
104.56,2024-01-20,Education,Workshop Fee
37.77,2024-01-20,Dining Out,Coffee Shop Downtown
69.41,2024-01-20,Utilities,Water Bill
26.33,2024-01-20,Health,Therapy Session
87.59,2024-01-20,Utilities,Water Bill
36.0,2024-01-21,Entertainment,Cinema Tickets
261.78,2024-01-22,Travel,Hotel Stay
17.69,2024-01-22,Dining Out,Lunch Cafe
14.46,2024-01-22,Transportation,Bus Pass Kiosk
53.56,2024-01-23,Personal Care,Pharmacy
115.84,2024-01-23,Utilities,Internet Provider
39.51,2024-01-23,Personal Care,Pharmacy
22.23,2024-01-24,Dining Out,Lunch Cafe
99.0,2024-01-25,Health,Therapy Session
140.28,2024-01-25,Travel,Flight Booking
74.13,2024-01-25,Entertainment,Concert Venue
119.26,2024-01-26,Shopping,Bookshop
38.55,2024-01-27,Personal Care,Haircut
45.92,2024-01-27,Entertainment,Streaming Service Subscription
39.1,2024-01-27,Health,Therapy Session
62.68,2024-01-27,Personal Care,Haircut
203.19,2024-01-27,Education,Online Course
283.26,2024-01-28,Travel,Hotel Stay
142.4,2024-01-28,Shopping,Bookshop
24.9,2024-01-28,Dining Out,Fast Food Z
121.89,2024-01-29,Shopping,Home Decor
99.7,2024-01-29,Health,Doctor Visit
137.67,2024-01-29,Utilities,Internet Provider
85.96,2024-01-30,Shopping,Home Decor
23.66,2024-01-30,Dining Out,Sushi Bar
413.1,2024-01-30,Travel,Train Ticket
73.23,2024-01-30,Health,Doctor Visit
36.21,2024-01-31,Dining Out,Lunch Cafe
113.23,2024-01-31,Travel,Hotel Stay
17.55,2024-01-31,Personal Care,Pharmacy
10.44,2024-02-01,Dining Out,Sushi Bar
30.54,2024-02-01,Personal Care,Haircut
82.97,2024-02-01,Shopping,Home Decor
25.11,2024-02-02,Groceries,Grocery Store B
48.64,2024-02-02,Entertainment,Cinema Tickets
5.83,2024-02-03,Dining Out,Lunch Cafe
42.69,2024-02-03,Transportation,Ride Sharing App
189.77,2024-02-03,Shopping,Online Electronics
64.99,2024-02-03,Groceries,Local Supermarket
21.98,2024-02-03,Shopping,Online Electronics
51.42,2024-02-04,Transportation,Ride Sharing App
20.26,2024-02-04,Dining Out,Lunch Cafe
498.48,2024-02-04,Travel,Flight Booking
71.24,2024-02-05,Personal Care,Haircut
88.36,2024-02-05,Health,Therapy Session
19.92,2024-02-07,Dining Out,Lunch Cafe
54.38,2024-02-07,Utilities,Water Bill
103.99,2024-02-08,Groceries,Supermarket A
30.51,2024-02-10,Groceries,Grocery Store B
24.0,2024-02-10,Health,Doctor Visit
10.38,2024-02-10,Personal Care,Haircut
97.49,2024-02-11,Groceries,Grocery Store B
49.94,2024-02-11,Utilities,Water Bill
145.13,2024-02-11,Travel,Train Ticket
44.6,2024-02-11,Personal Care,Spa Center
114.72,2024-02-13,Utilities,Internet Provider
72.39,2024-02-14,Travel,Hotel Stay
34.25,2024-02-14,Health,Therapy Session
26.64,2024-02-14,Shopping,Bookshop
238.03,2024-02-15,Travel,Train Ticket
40.37,2024-02-15,Personal Care,Pharmacy
176.09,2024-02-15,Travel,Train Ticket
119.68,2024-02-16,Utilities,Internet Provider
99.72,2024-02-17,Shopping,Clothing Store Sale
56.45,2024-02-17,Personal Care,Pharmacy
103.49,2024-02-18,Education,Workshop Fee
129.67,2024-02-18,Health,Doctor Visit
20.76,2024-02-18,Entertainment,Concert Venue
83.07,2024-02-18,Education,Bookstore
61.3,2024-02-18,Shopping,Clothing Store Sale
125.53,2024-02-20,Health,Doctor Visit
23.67,2024-02-22,Personal Care,Pharmacy
151.15,2024-02-22,Travel,Hotel Stay
193.42,2024-02-23,Education,Workshop Fee
50.78,2024-02-23,Entertainment,Cinema Tickets
468.88,2024-02-24,Travel,Train Ticket
135.47,2024-02-24,Education,Workshop Fee
244.11,2024-02-25,Education,Workshop Fee
96.59,2024-02-25,Shopping,Home Decor
415.8,2024-02-26,Travel,Flight Booking
92.67,2024-02-26,Groceries,Grocery Store B
36.3,2024-02-26,Transportation,Ride Sharing App
91.39,2024-02-27,Utilities,Water Bill
103.08,2024-02-27,Health,Therapy Session
32.27,2024-02-29,Utilities,Internet Provider
36.6,2024-02-29,Groceries,Supermarket A
54.4,2024-02-29,Transportation,Ride Sharing App
51.23,2024-03-01,Entertainment,Streaming Service Subscription
198.4,2024-03-01,Education,Online Course
293.86,2024-03-01,Travel,Flight Booking
47.29,2024-03-01,Health,Doctor Visit
10.49,2024-03-01,Dining Out,Lunch Cafe
32.6,2024-03-02,Entertainment,Streaming Service Subscription
143.36,2024-03-02,Education,Workshop Fee
63.48,2024-03-02,Health,Doctor Visit
94.05,2024-03-03,Travel,Train Ticket
256.76,2024-03-03,Travel,Hotel Stay
18.71,2024-03-03,Entertainment,Streaming Service Subscription
11.61,2024-03-03,Transportation,Petrol Station
45.78,2024-03-04,Health,Therapy Session
101.81,2024-03-04,Groceries,Grocery Store B
53.39,2024-03-05,Entertainment,Streaming Service Subscription
82.81,2024-03-05,Education,Bookstore
200.13,2024-03-08,Travel,Hotel Stay
86.11,2024-03-09,Travel,Train Ticket
110.98,2024-03-09,Shopping,Home Decor
136.95,2024-03-09,Health,Gym Membership
71.31,2024-03-09,Health,Therapy Session
71.99,2024-03-09,Groceries,Supermarket A
57.8,2024-03-10,Groceries,Local Supermarket
72.06,2024-03-10,Education,Bookstore
69.89,2024-03-10,Utilities,Internet Provider
5.89,2024-03-10,Dining Out,Fast Food Z
164.63,2024-03-10,Travel,Flight Booking
52.91,2024-03-11,Transportation,Petrol Station
16.95,2024-03-11,Transportation,Petrol Station
33.83,2024-03-11,Dining Out,Sushi Bar
100.53,2024-03-12,Groceries,Grocery Store B
352.49,2024-03-12,Travel,Flight Booking
37.01,2024-03-12,Entertainment,Cinema Tickets
70.18,2024-03-13,Health,Gym Membership
97.56,2024-03-13,Utilities,Electricity Bill
25.76,2024-03-14,Dining Out,Sushi Bar
123.42,2024-03-14,Utilities,Water Bill
111.92,2024-03-15,Utilities,Water Bill
313.0,2024-03-15,Travel,Train Ticket
42.71,2024-03-15,Shopping,Clothing Store Sale
227.2,2024-03-15,Travel,Train Ticket
28.24,2024-03-15,Personal Care,Haircut
50.13,2024-03-16,Utilities,Internet Provider
110.03,2024-03-16,Education,Bookstore
175.32,2024-03-16,Travel,Hotel Stay
110.7,2024-03-16,Groceries,Supermarket A
180.82,2024-03-16,Education,Bookstore
353.03,2024-03-17,Travel,Flight Booking
195.03,2024-03-17,Shopping,Home Decor
69.27,2024-03-17,Utilities,Electricity Bill
206.91,2024-03-17,Travel,Flight Booking
79.61,2024-03-17,Travel,Train Ticket
328.24,2024-03-18,Travel,Flight Booking
17.64,2024-03-18,Transportation,Petrol Station
24.94,2024-03-19,Dining Out,Sushi Bar
120.93,2024-03-19,Education,Online Course
119.26,2024-03-20,Groceries,Grocery Store B
195.75,2024-03-20,Shopping,Online Electronics
25.58,2024-03-21,Health,Therapy Session
65.7,2024-03-22,Health,Doctor Visit
42.27,2024-03-22,Utilities,Water Bill
31.61,2024-03-23,Groceries,Supermarket A
27.04,2024-03-23,Personal Care,Haircut
19.28,2024-03-23,Dining Out,Lunch Cafe
55.0,2024-03-24,Entertainment,Streaming Service Subscription
95.2,2024-03-24,Health,Doctor Visit
133.81,2024-03-24,Utilities,Electricity Bill
81.8,2024-03-24,Utilities,Water Bill
62.34,2024-03-25,Utilities,Electricity Bill
44.37,2024-03-26,Transportation,Ride Sharing App
110.43,2024-03-26,Shopping,Online Electronics
35.34,2024-03-26,Transportation,Ride Sharing App
43.53,2024-03-27,Health,Therapy Session
21.6,2024-03-27,Shopping,Clothing Store Sale
244.46,2024-03-27,Education,Workshop Fee
52.44,2024-03-28,Transportation,Ride Sharing App
76.31,2024-03-28,Education,Workshop Fee
48.55,2024-03-30,Entertainment,Concert Venue
110.98,2024-03-30,Utilities,Water Bill
21.11,2024-03-31,Shopping,Clothing Store Sale
23.56,2024-03-31,Entertainment,Concert Venue
92.23,2024-03-31,Shopping,Home Decor
98.37,2024-03-31,Health,Doctor Visit
66.36,2024-04-01,Personal Care,Haircut
105.33,2024-04-01,Utilities,Water Bill
128.88,2024-04-03,Utilities,Water Bill
54.76,2024-04-05,Transportation,Bus Pass Kiosk
32.39,2024-04-06,Dining Out,Lunch Cafe
336.81,2024-04-07,Travel,Train Ticket
122.36,2024-04-08,Health,Doctor Visit
144.35,2024-04-08,Shopping,Home Decor
74.05,2024-04-10,Health,Gym Membership
34.73,2024-04-10,Transportation,Bus Pass Kiosk
40.9,2024-04-11,Transportation,Petrol Station
22.36,2024-04-11,Personal Care,Haircut
94.77,2024-04-12,Education,Online Course
66.52,2024-04-12,Health,Therapy Session
31.14,2024-04-12,Education,Workshop Fee
36.39,2024-04-13,Dining Out,Lunch Cafe
242.24,2024-04-14,Education,Bookstore
11.38,2024-04-15,Dining Out,Lunch Cafe
387.15,2024-04-15,Travel,Hotel Stay
245.37,2024-04-15,Travel,Train Ticket
167.42,2024-04-16,Travel,Hotel Stay
221.65,2024-04-18,Travel,Train Ticket
126.59,2024-04-18,Utilities,Water Bill
39.44,2024-04-20,Education,Online Course
136.38,2024-04-20,Utilities,Water Bill
24.67,2024-04-20,Dining Out,Pizzeria Bella
99.95,2024-04-20,Health,Doctor Visit
35.19,2024-04-21,Utilities,Internet Provider
92.36,2024-04-21,Utilities,Electricity Bill
175.69,2024-04-21,Shopping,Clothing Store Sale
35.49,2024-04-21,Entertainment,Streaming Service Subscription
103.46,2024-04-21,Shopping,Bookshop
29.58,2024-04-22,Transportation,Bus Pass Kiosk
78.15,2024-04-22,Utilities,Electricity Bill
71.36,2024-04-22,Entertainment,Cinema Tickets
47.9,2024-04-23,Health,Therapy Session
103.91,2024-04-23,Health,Gym Membership
40.06,2024-04-25,Health,Gym Membership
35.69,2024-04-25,Transportation,Ride Sharing App
118.79,2024-04-26,Shopping,Online Electronics
10.93,2024-04-27,Transportation,Petrol Station
94.19,2024-04-28,Entertainment,Streaming Service Subscription
35.87,2024-04-28,Personal Care,Spa Center
37.92,2024-04-28,Transportation,Ride Sharing App
24.17,2024-04-30,Entertainment,Streaming Service Subscription
49.46,2024-04-30,Transportation,Ride Sharing App
151.92,2024-04-30,Education,Online Course
55.05,2024-04-30,Education,Workshop Fee
201.68,2024-05-01,Travel,Flight Booking
215.56,2024-05-01,Travel,Train Ticket
102.22,2024-05-01,Shopping,Bookshop
69.67,2024-05-02,Education,Workshop Fee
83.68,2024-05-02,Groceries,Local Supermarket
89.72,2024-05-04,Education,Bookstore
91.83,2024-05-04,Groceries,Grocery Store B
39.67,2024-05-04,Dining Out,Sushi Bar
21.51,2024-05-04,Dining Out,Pizzeria Bella
31.21,2024-05-05,Transportation,Bus Pass Kiosk
134.01,2024-05-05,Utilities,Water Bill
51.93,2024-05-05,Entertainment,Concert Venue
54.87,2024-05-05,Entertainment,Concert Venue
114.09,2024-05-06,Health,Therapy Session
31.3,2024-05-07,Transportation,Ride Sharing App
6.46,2024-05-08,Dining Out,Lunch Cafe
121.15,2024-05-08,Health,Gym Membership
80.09,2024-05-09,Entertainment,Concert Venue
35.51,2024-05-10,Entertainment,Cinema Tickets
103.31,2024-05-11,Health,Therapy Session
43.24,2024-05-11,Transportation,Petrol Station
109.91,2024-05-12,Utilities,Electricity Bill
34.3,2024-05-12,Dining Out,Coffee Shop Downtown
48.28,2024-05-12,Entertainment,Streaming Service Subscription
9.31,2024-05-12,Personal Care,Spa Center
17.53,2024-05-12,Dining Out,Fast Food Z
68.56,2024-05-14,Groceries,Local Supermarket
39.18,2024-05-14,Education,Workshop Fee
24.39,2024-05-14,Entertainment,Streaming Service Subscription
33.55,2024-05-15,Education,Workshop Fee
95.81,2024-05-15,Travel,Flight Booking
25.35,2024-05-15,Groceries,Grocery Store B
101.23,2024-05-15,Health,Therapy Session
74.32,2024-05-15,Shopping,Home Decor
21.57,2024-05-15,Groceries,Supermarket A
100.82,2024-05-17,Groceries,Grocery Store B
64.87,2024-05-18,Entertainment,Streaming Service Subscription
87.01,2024-05-18,Entertainment,Concert Venue
37.76,2024-05-18,Dining Out,Coffee Shop Downtown
59.95,2024-05-18,Health,Doctor Visit
9.92,2024-05-19,Dining Out,Pizzeria Bella
125.45,2024-05-19,Utilities,Internet Provider
166.65,2024-05-19,Education,Bookstore
71.31,2024-05-20,Entertainment,Concert Venue
26.75,2024-05-20,Transportation,Petrol Station
153.61,2024-05-20,Education,Workshop Fee
65.84,2024-05-22,Shopping,Bookshop
28.09,2024-05-23,Personal Care,Pharmacy
23.52,2024-05-24,Dining Out,Fast Food Z
62.98,2024-05-24,Groceries,Local Supermarket
477.05,2024-05-25,Travel,Hotel Stay
101.81,2024-05-25,Travel,Hotel Stay
28.54,2024-05-25,Transportation,Petrol Station
123.62,2024-05-25,Utilities,Electricity Bill
22.45,2024-05-25,Education,Bookstore
62.46,2024-05-26,Entertainment,Cinema Tickets
19.54,2024-05-27,Dining Out,Sushi Bar
13.59,2024-05-28,Entertainment,Concert Venue
74.63,2024-05-28,Education,Workshop Fee
31.39,2024-05-29,Transportation,Petrol Station
43.8,2024-05-30,Health,Gym Membership
354.1,2024-05-30,Travel,Flight Booking
416.08,2024-05-30,Travel,Flight Booking
91.08,2024-05-30,Shopping,Bookshop
13.11,2024-05-30,Shopping,Home Decor
30.19,2024-05-30,Dining Out,Coffee Shop Downtown
108.9,2024-05-31,Shopping,Home Decor
48.48,2024-06-01,Groceries,Supermarket A
153.25,2024-06-01,Travel,Hotel Stay
19.5,2024-06-02,Dining Out,Sushi Bar
487.1,2024-06-02,Travel,Flight Booking
22.73,2024-06-02,Transportation,Ride Sharing App
113.12,2024-06-02,Shopping,Home Decor
138.02,2024-06-02,Utilities,Electricity Bill
41.43,2024-06-03,Transportation,Bus Pass Kiosk
72.07,2024-06-03,Entertainment,Streaming Service Subscription
40.37,2024-06-03,Personal Care,Spa Center
137.84,2024-06-04,Health,Doctor Visit
49.22,2024-06-05,Personal Care,Haircut
364.23,2024-06-05,Travel,Train Ticket
17.68,2024-06-05,Entertainment,Concert Venue
490.73,2024-06-06,Travel,Train Ticket
94.32,2024-06-06,Travel,Train Ticket
58.9,2024-06-06,Personal Care,Pharmacy
74.46,2024-06-07,Entertainment,Cinema Tickets
54.37,2024-06-07,Entertainment,Cinema Tickets
114.35,2024-06-08,Groceries,Supermarket A
51.38,2024-06-09,Groceries,Local Supermarket
146.21,2024-06-09,Health,Doctor Visit
47.2,2024-06-10,Transportation,Petrol Station
75.53,2024-06-10,Entertainment,Concert Venue
237.05,2024-06-11,Travel,Train Ticket
24.5,2024-06-11,Groceries,Grocery Store B
24.65,2024-06-12,Entertainment,Concert Venue
77.64,2024-06-12,Personal Care,Spa Center
147.58,2024-06-14,Education,Bookstore
124.91,2024-06-15,Utilities,Water Bill
40.6,2024-06-15,Shopping,Home Decor
166.22,2024-06-15,Travel,Flight Booking
142.51,2024-06-16,Shopping,Home Decor
245.04,2024-06-16,Education,Online Course
36.75,2024-06-19,Dining Out,Lunch Cafe
59.95,2024-06-20,Personal Care,Spa Center
171.02,2024-06-20,Shopping,Bookshop
156.3,2024-06-21,Shopping,Home Decor
8.0,2024-06-21,Dining Out,Lunch Cafe
11.14,2024-06-22,Entertainment,Cinema Tickets
73.66,2024-06-22,Groceries,Supermarket A
69.7,2024-06-23,Health,Gym Membership
140.48,2024-06-23,Education,Bookstore
226.76,2024-06-23,Travel,Flight Booking
128.5,2024-06-23,Education,Bookstore
56.8,2024-06-24,Health,Doctor Visit
10.41,2024-06-24,Dining Out,Sushi Bar
66.16,2024-06-24,Shopping,Online Electronics
80.81,2024-06-25,Entertainment,Streaming Service Subscription
36.69,2024-06-27,Dining Out,Sushi Bar
99.96,2024-06-27,Groceries,Local Supermarket
94.2,2024-06-27,Education,Bookstore
19.51,2024-06-28,Personal Care,Haircut
96.62,2024-06-28,Entertainment,Concert Venue
114.6,2024-06-29,Health,Therapy Session
144.16,2024-06-29,Health,Doctor Visit
25.8,2024-06-29,Entertainment,Streaming Service Subscription
76.38,2024-06-29,Utilities,Water Bill
151.86,2024-06-30,Shopping,Home Decor
52.41,2024-06-30,Utilities,Internet Provider
36.34,2024-06-30,Personal Care,Pharmacy
69.18,2024-06-30,Shopping,Home Decor
110.02,2024-07-01,Education,Workshop Fee
163.8,2024-07-01,Shopping,Home Decor
109.32,2024-07-01,Groceries,Grocery Store B
27.57,2024-07-01,Entertainment,Streaming Service Subscription
86.17,2024-07-02,Entertainment,Concert Venue
75.92,2024-07-02,Utilities,Water Bill
61.14,2024-07-02,Entertainment,Cinema Tickets
83.52,2024-07-03,Shopping,Bookshop
152.69,2024-07-04,Shopping,Clothing Store Sale
53.78,2024-07-04,Groceries,Local Supermarket
39.43,2024-07-05,Groceries,Grocery Store B
134.54,2024-07-05,Shopping,Home Decor
142.16,2024-07-06,Health,Gym Membership
371.21,2024-07-06,Travel,Train Ticket
84.66,2024-07-06,Education,Online Course
48.08,2024-07-07,Transportation,Ride Sharing App
19.91,2024-07-07,Dining Out,Pizzeria Bella
42.71,2024-07-07,Transportation,Ride Sharing App
48.67,2024-07-07,Transportation,Ride Sharing App
71.3,2024-07-08,Health,Doctor Visit
20.12,2024-07-08,Dining Out,Sushi Bar
103.11,2024-07-09,Health,Doctor Visit
22.64,2024-07-09,Transportation,Ride Sharing App
65.02,2024-07-10,Utilities,Internet Provider
19.66,2024-07-10,Education,Online Course
144.36,2024-07-11,Utilities,Water Bill
9.76,2024-07-12,Dining Out,Coffee Shop Downtown
103.39,2024-07-13,Education,Bookstore
54.75,2024-07-14,Transportation,Ride Sharing App
95.18,2024-07-14,Utilities,Internet Provider
47.64,2024-07-14,Transportation,Petrol Station
144.76,2024-07-14,Education,Online Course
110.4,2024-07-14,Groceries,Local Supermarket
37.12,2024-07-15,Dining Out,Coffee Shop Downtown
87.83,2024-07-15,Shopping,Bookshop
23.94,2024-07-17,Dining Out,Lunch Cafe
61.02,2024-07-18,Utilities,Electricity Bill
118.18,2024-07-18,Health,Therapy Session
215.06,2024-07-19,Education,Workshop Fee
100.94,2024-07-20,Travel,Flight Booking
72.45,2024-07-20,Personal Care,Spa Center
188.16,2024-07-20,Shopping,Online Electronics
132.66,2024-07-20,Utilities,Internet Provider
17.38,2024-07-20,Shopping,Bookshop
83.22,2024-07-21,Shopping,Clothing Store Sale
98.15,2024-07-21,Health,Therapy Session
141.04,2024-07-22,Utilities,Internet Provider
119.09,2024-07-23,Groceries,Supermarket A
94.52,2024-07-24,Entertainment,Streaming Service Subscription
120.81,2024-07-24,Utilities,Water Bill
99.15,2024-07-24,Entertainment,Cinema Tickets
100.98,2024-07-25,Groceries,Local Supermarket
156.7,2024-07-25,Shopping,Home Decor
46.47,2024-07-25,Transportation,Bus Pass Kiosk
411.66,2024-07-26,Travel,Hotel Stay
76.98,2024-07-27,Personal Care,Pharmacy
41.82,2024-07-27,Transportation,Petrol Station
73.98,2024-07-27,Personal Care,Pharmacy
86.28,2024-07-27,Utilities,Internet Provider
15.28,2024-07-28,Entertainment,Cinema Tickets
34.63,2024-07-28,Dining Out,Pizzeria Bella
53.18,2024-07-29,Transportation,Petrol Station
84.55,2024-07-29,Groceries,Supermarket A
45.41,2024-07-29,Groceries,Local Supermarket
21.99,2024-07-30,Health,Gym Membership
42.75,2024-07-30,Utilities,Electricity Bill
28.42,2024-07-31,Dining Out,Sushi Bar
92.02,2024-07-31,Entertainment,Cinema Tickets
33.56,2024-08-01,Transportation,Petrol Station
414.17,2024-08-01,Travel,Flight Booking
67.32,2024-08-02,Personal Care,Spa Center
124.99,2024-08-03,Health,Gym Membership
23.15,2024-08-03,Entertainment,Cinema Tickets
31.45,2024-08-03,Dining Out,Coffee Shop Downtown
35.98,2024-08-03,Transportation,Bus Pass Kiosk
193.82,2024-08-04,Shopping,Bookshop
102.8,2024-08-05,Shopping,Home Decor
84.03,2024-08-06,Entertainment,Cinema Tickets
132.94,2024-08-06,Education,Workshop Fee
12.83,2024-08-06,Transportation,Bus Pass Kiosk
20.36,2024-08-08,Dining Out,Sushi Bar
70.39,2024-08-08,Personal Care,Spa Center
218.94,2024-08-09,Education,Bookstore
35.82,2024-08-09,Entertainment,Cinema Tickets
31.53,2024-08-10,Transportation,Bus Pass Kiosk
39.08,2024-08-10,Transportation,Bus Pass Kiosk
5.94,2024-08-11,Dining Out,Sushi Bar
155.12,2024-08-11,Shopping,Home Decor
58.75,2024-08-12,Groceries,Local Supermarket
148.09,2024-08-12,Health,Gym Membership
150.69,2024-08-12,Shopping,Online Electronics
56.61,2024-08-13,Entertainment,Cinema Tickets
56.78,2024-08-13,Personal Care,Spa Center
32.95,2024-08-14,Dining Out,Pizzeria Bella
25.18,2024-08-15,Dining Out,Pizzeria Bella
21.56,2024-08-15,Transportation,Bus Pass Kiosk
13.31,2024-08-15,Dining Out,Sushi Bar
56.0,2024-08-16,Health,Doctor Visit
39.45,2024-08-16,Dining Out,Lunch Cafe
35.05,2024-08-17,Groceries,Supermarket A
13.29,2024-08-17,Transportation,Petrol Station
179.0,2024-08-17,Shopping,Bookshop
164.15,2024-08-18,Education,Workshop Fee
29.44,2024-08-18,Dining Out,Pizzeria Bella
61.56,2024-08-18,Groceries,Grocery Store B
19.54,2024-08-18,Transportation,Bus Pass Kiosk
79.0,2024-08-18,Groceries,Grocery Store B
75.29,2024-08-19,Groceries,Grocery Store B
91.89,2024-08-19,Utilities,Water Bill
195.7,2024-08-19,Shopping,Online Electronics
126.08,2024-08-20,Travel,Train Ticket
221.8,2024-08-20,Travel,Train Ticket
30.36,2024-08-21,Dining Out,Coffee Shop Downtown
40.38,2024-08-21,Entertainment,Streaming Service Subscription
15.04,2024-08-22,Dining Out,Pizzeria Bella
16.9,2024-08-22,Personal Care,Haircut
6.05,2024-08-24,Dining Out,Coffee Shop Downtown
16.72,2024-08-24,Personal Care,Spa Center
22.4,2024-08-24,Dining Out,Lunch Cafe
20.01,2024-08-24,Dining Out,Sushi Bar
51.28,2024-08-24,Education,Workshop Fee
25.6,2024-08-25,Dining Out,Lunch Cafe
172.71,2024-08-27,Education,Online Course
126.19,2024-08-28,Education,Bookstore
120.22,2024-08-28,Shopping,Bookshop
351.12,2024-08-28,Travel,Train Ticket
250.38,2024-08-29,Travel,Flight Booking
36.17,2024-08-29,Personal Care,Spa Center
149.32,2024-08-30,Utilities,Electricity Bill
11.28,2024-08-30,Dining Out,Lunch Cafe
88.23,2024-08-30,Utilities,Electricity Bill
110.51,2024-08-31,Education,Bookstore
16.26,2024-08-31,Dining Out,Sushi Bar
157.19,2024-08-31,Education,Online Course
107.24,2024-09-01,Groceries,Grocery Store B
