amount,date,category,description/merchant
119.98,2024-09-01,Shopping,Online Electronics
7.66,2024-09-01,Dining Out,Lunch Cafe
102.41,2024-09-01,Groceries,Local Supermarket
136.48,2024-09-01,Health,Doctor Visit
37.18,2024-09-02,Utilities,Internet Provider
68.48,2024-09-03,Personal Care,Haircut
29.79,2024-09-04,Education,Workshop Fee
73.31,2024-09-04,Personal Care,Spa Center
158.34,2024-09-04,Shopping,Bookshop
77.78,2024-09-05,Groceries,Grocery Store B
48.14,2024-09-06,Transportation,Bus Pass Kiosk
46.12,2024-09-06,Utilities,Internet Provider
199.15,2024-09-06,Shopping,Bookshop
26.35,2024-09-07,Groceries,Grocery Store B
19.96,2024-09-07,Entertainment,Concert Venue
177.61,2024-09-08,Shopping,Bookshop
78.38,2024-09-08,Entertainment,Concert Venue
50.4,2024-09-10,Transportation,Ride Sharing App
49.13,2024-09-11,Health,Doctor Visit
18.96,2024-09-11,Transportation,Ride Sharing App
108.52,2024-09-11,Health,Gym Membership
44.97,2024-09-12,Personal Care,Pharmacy
214.68,2024-09-12,Education,Workshop Fee
52.39,2024-09-14,Personal Care,Haircut
96.14,2024-09-14,Education,Online Course
166.79,2024-09-15,Shopping,Clothing Store Sale
14.35,2024-09-15,Personal Care,Spa Center
37.1,2024-09-15,Dining Out,Lunch Cafe
10.84,2024-09-15,Transportation,Ride Sharing App
81.32,2024-09-15,Groceries,Grocery Store B
40.98,2024-09-16,Transportation,Bus Pass Kiosk
37.72,2024-09-16,Education,Bookstore
188.56,2024-09-17,Education,Online Course
23.53,2024-09-17,Health,Doctor Visit
23.84,2024-09-19,Entertainment,Cinema Tickets
62.02,2024-09-19,Entertainment,Cinema Tickets
29.74,2024-09-19,Entertainment,Concert Venue
101.8,2024-09-20,Health,Therapy Session
29.42,2024-09-21,Health,Therapy Session
38.78,2024-09-21,Dining Out,Pizzeria Bella
118.87,2024-09-21,Health,Doctor Visit
377.7,2024-09-22,Travel,Flight Booking
114.69,2024-09-22,Shopping,Online Electronics
134.0,2024-09-22,Health,Doctor Visit
21.28,2024-09-22,Education,Bookstore
409.46,2024-09-22,Travel,Hotel Stay
124.01,2024-09-23,Utilities,Electricity Bill
72.75,2024-09-23,Health,Gym Membership
241.23,2024-09-24,Travel,Flight Booking
29.48,2024-09-24,Dining Out,Fast Food Z
52.9,2024-09-24,Transportation,Bus Pass Kiosk
78.86,2024-09-26,Education,Online Course
52.47,2024-09-26,Entertainment,Streaming Service Subscription
92.12,2024-09-27,Entertainment,Streaming Service Subscription
41.77,2024-09-28,Transportation,Bus Pass Kiosk
19.6,2024-09-28,Dining Out,Coffee Shop Downtown
12.84,2024-09-28,Dining Out,Fast Food Z
46.61,2024-09-29,Transportation,Ride Sharing App
29.58,2024-09-29,Dining Out,Sushi Bar
31.22,2024-09-29,Personal Care,Pharmacy
14.97,2024-09-29,Personal Care,Haircut
64.29,2024-09-29,Travel,Flight Booking
51.6,2024-09-30,Transportation,Petrol Station
86.16,2024-09-30,Utilities,Water Bill
134.94,2024-09-30,Health,Therapy Session
98.47,2024-09-30,Shopping,Bookshop
50.14,2024-09-30,Transportation,Petrol Station
130.11,2024-10-01,Health,Doctor Visit
145.1,2024-10-01,Utilities,Internet Provider
27.86,2024-10-02,Education,Online Course
82.78,2024-10-03,Groceries,Grocery Store B
54.88,2024-10-05,Transportation,Ride Sharing App
13.66,2024-10-05,Dining Out,Pizzeria Bella
162.26,2024-10-06,Shopping,Home Decor
107.76,2024-10-06,Utilities,Water Bill
71.5,2024-10-06,Groceries,Supermarket A
14.89,2024-10-06,Transportation,Petrol Station
48.5,2024-10-06,Utilities,Electricity Bill
29.72,2024-10-07,Shopping,Home Decor
64.89,2024-10-08,Personal Care,Spa Center
124.97,2024-10-08,Utilities,Internet Provider
56.87,2024-10-08,Transportation,Bus Pass Kiosk
171.47,2024-10-09,Education,Workshop Fee
232.7,2024-10-09,Education,Online Course
131.86,2024-10-10,Travel,Hotel Stay
387.26,2024-10-10,Travel,Train Ticket
77.81,2024-10-11,Personal Care,Pharmacy
126.05,2024-10-11,Utilities,Electricity Bill
17.98,2024-10-11,Entertainment,Cinema Tickets
84.4,2024-10-12,Health,Doctor Visit
128.41,2024-10-12,Shopping,Clothing Store Sale
125.31,2024-10-13,Shopping,Home Decor
179.46,2024-10-13,Shopping,Online Electronics
41.18,2024-10-13,Transportation,Ride Sharing App
25.63,2024-10-14,Education,Online Course
83.98,2024-10-15,Health,Therapy Session
189.79,2024-10-15,Education,Bookstore
125.57,2024-10-15,Health,Gym Membership
35.74,2024-10-15,Education,Online Course
22.06,2024-10-15,Dining Out,Pizzeria Bella
46.49,2024-10-16,Transportation,Ride Sharing App
28.23,2024-10-17,Entertainment,Cinema Tickets
98.33,2024-10-17,Groceries,Grocery Store B
49.2,2024-10-17,Transportation,Bus Pass Kiosk
74.6,2024-10-18,Groceries,Supermarket A
72.83,2024-10-18,Entertainment,Concert Venue
88.41,2024-10-18,Entertainment,Streaming Service Subscription
18.17,2024-10-19,Personal Care,Pharmacy
36.76,2024-10-20,Entertainment,Cinema Tickets
130.75,2024-10-20,Education,Bookstore
75.65,2024-10-20,Health,Doctor Visit
130.01,2024-10-21,Travel,Train Ticket
15.28,2024-10-21,Dining Out,Lunch Cafe
16.03,2024-10-22,Dining Out,Fast Food Z
29.97,2024-10-22,Health,Doctor Visit
38.41,2024-10-24,Personal Care,Haircut
33.58,2024-10-24,Personal Care,Haircut
62.24,2024-10-24,Shopping,Home Decor
32.05,2024-10-25,Entertainment,Cinema Tickets
71.82,2024-10-25,Groceries,Grocery Store B
80.56,2024-10-26,Shopping,Online Electronics
39.63,2024-10-27,Utilities,Internet Provider
38.79,2024-10-29,Transportation,Ride Sharing App
34.69,2024-10-29,Entertainment,Streaming Service Subscription
83.37,2024-10-30,Education,Online Course
107.15,2024-10-30,Utilities,Internet Provider
291.07,2024-10-30,Travel,Flight Booking
114.39,2024-10-30,Groceries,Local Supermarket
30.41,2024-11-01,Groceries,Grocery Store B
73.94,2024-11-01,Health,Doctor Visit
178.69,2024-11-01,Education,Workshop Fee
28.97,2024-11-01,Dining Out,Fast Food Z
127.29,2024-11-01,Shopping,Clothing Store Sale
28.75,2024-11-02,Dining Out,Lunch Cafe
32.55,2024-11-02,Groceries,Supermarket A
14.75,2024-11-02,Dining Out,Lunch Cafe
17.34,2024-11-02,Dining Out,Lunch Cafe
12.73,2024-11-03,Personal Care,Spa Center
62.43,2024-11-03,Personal Care,Pharmacy
231.15,2024-11-03,Travel,Hotel Stay
50.29,2024-11-03,Transportation,Petrol Station
28.05,2024-11-03,Dining Out,Pizzeria Bella
140.12,2024-11-04,Shopping,Home Decor
266.94,2024-11-06,Travel,Hotel Stay
61.05,2024-11-06,Utilities,Water Bill
25.66,2024-11-06,Transportation,Bus Pass Kiosk
63.73,2024-11-07,Travel,Hotel Stay
39.95,2024-11-07,Personal Care,Haircut
10.1,2024-11-08,Transportation,Petrol Station
90.45,2024-11-08,Entertainment,Cinema Tickets
35.36,2024-11-08,Utilities,Electricity Bill
27.49,2024-11-09,Dining Out,Sushi Bar
79.26,2024-11-09,Personal Care,Pharmacy
71.37,2024-11-10,Health,Doctor Visit
340.22,2024-11-11,Travel,Train Ticket
6.06,2024-11-12,Dining Out,Sushi Bar
124.77,2024-11-13,Utilities,Electricity Bill
193.84,2024-11-13,Education,Bookstore
75.2,2024-11-14,Personal Care,Pharmacy
47.98,2024-11-14,Health,Therapy Session
64.03,2024-11-15,Entertainment,Streaming Service Subscription
163.36,2024-11-15,Shopping,Clothing Store Sale
54.14,2024-11-16,Education,Workshop Fee
51.11,2024-11-17,Education,Workshop Fee
6.53,2024-11-18,Personal Care,Pharmacy
20.72,2024-11-18,Groceries,Supermarket A
49.62,2024-11-19,Health,Therapy Session
127.99,2024-11-20,Health,Gym Membership
155.55,2024-11-21,Shopping,Bookshop
17.35,2024-11-21,Dining Out,Sushi Bar
83.2,2024-11-23,Health,Gym Membership
28.12,2024-11-23,Shopping,Online Electronics
54.48,2024-11-23,Utilities,Water Bill
10.92,2024-11-23,Personal Care,Spa Center
61.58,2024-11-24,Entertainment,Cinema Tickets
41.31,2024-11-24,Health,Gym Membership
96.83,2024-11-24,Utilities,Electricity Bill
108.52,2024-11-24,Utilities,Internet Provider
28.08,2024-11-24,Transportation,Ride Sharing App
17.8,2024-11-25,Transportation,Ride Sharing App
39.21,2024-11-25,Personal Care,Spa Center
106.64,2024-11-25,Shopping,Bookshop
35.34,2024-11-27,Dining Out,Coffee Shop Downtown
188.32,2024-11-29,Shopping,Clothing Store Sale
72.93,2024-11-30,Groceries,Local Supermarket
399.02,2024-11-30,Travel,Train Ticket
10.16,2024-11-30,Transportation,Bus Pass Kiosk
190.85,2024-12-01,Education,Workshop Fee
11.4,2024-12-01,Personal Care,Pharmacy
39.61,2024-12-01,Utilities,Electricity Bill
16.19,2024-12-02,Transportation,Petrol Station
111.03,2024-12-02,Shopping,Home Decor
69.08,2024-12-03,Entertainment,Streaming Service Subscription
22.39,2024-12-04,Personal Care,Haircut
76.05,2024-12-04,Utilities,Electricity Bill
7.3,2024-12-04,Dining Out,Lunch Cafe
297.65,2024-12-06,Travel,Flight Booking
42.1,2024-12-07,Transportation,Ride Sharing App
111.46,2024-12-07,Shopping,Home Decor
68.69,2024-12-07,Entertainment,Concert Venue
28.35,2024-12-08,Personal Care,Pharmacy
25.25,2024-12-08,Transportation,Bus Pass Kiosk
80.76,2024-12-08,Entertainment,Cinema Tickets
30.67,2024-12-09,Personal Care,Pharmacy
12.77,2024-12-10,Entertainment,Cinema Tickets
162.46,2024-12-10,Education,Online Course
36.28,2024-12-10,Groceries,Local Supermarket
66.51,2024-12-11,Groceries,Local Supermarket
139.03,2024-12-11,Education,Workshop Fee
27.27,2024-12-11,Dining Out,Pizzeria Bella
252.91,2024-12-12,Travel,Hotel Stay
65.64,2024-12-12,Entertainment,Concert Venue
40.75,2024-12-14,Personal Care,Haircut
175.12,2024-12-14,Travel,Hotel Stay
111.44,2024-12-14,Health,Therapy Session
45.79,2024-12-14,Transportation,Petrol Station
50.69,2024-12-14,Education,Online Course
52.85,2024-12-15,Health,Doctor Visit
64.34,2024-12-15,Groceries,Grocery Store B
37.33,2024-12-15,Personal Care,Spa Center
83.64,2024-12-15,Utilities,Electricity Bill
97.39,2024-12-15,Utilities,Water Bill
115.88,2024-12-17,Health,Gym Membership
30.01,2024-12-18,Dining Out,Sushi Bar
29.3,2024-12-18,Dining Out,Lunch Cafe
34.71,2024-12-18,Dining Out,Sushi Bar
99.65,2024-12-20,Utilities,Internet Provider
116.33,2024-12-20,Groceries,Local Supermarket
76.03,2024-12-21,Entertainment,Streaming Service Subscription
390.58,2024-12-21,Travel,Hotel Stay
24.2,2024-12-21,Shopping,Online Electronics
88.63,2024-12-22,Entertainment,Streaming Service Subscription
24.47,2024-12-22,Dining Out,Pizzeria Bella
21.47,2024-12-22,Entertainment,Streaming Service Subscription
24.97,2024-12-23,Dining Out,Sushi Bar
56.39,2024-12-23,Personal Care,Haircut
406.78,2024-12-24,Travel,Hotel Stay
111.56,2024-12-26,Education,Workshop Fee
17.53,2024-12-27,Shopping,Online Electronics
107.91,2024-12-28,Utilities,Electricity Bill
69.45,2024-12-28,Utilities,Water Bill
112.44,2024-12-28,Health,Doctor Visit
16.05,2024-12-28,Transportation,Ride Sharing App
201.59,2024-12-28,Travel,Flight Booking
75.78,2024-12-29,Shopping,Clothing Store Sale
32.88,2024-12-29,Dining Out,Coffee Shop Downtown
65.23,2024-12-29,Personal Care,Pharmacy
114.18,2024-12-29,Groceries,Grocery Store B
174.46,2024-12-29,Education,Online Course
102.19,2024-12-30,Utilities,Electricity Bill
63.48,2024-12-30,Entertainment,Cinema Tickets
28.61,2024-12-30,Dining Out,Sushi Bar
46.55,2024-12-30,Utilities,Water Bill
35.03,2024-12-30,Entertainment,Cinema Tickets
171.14,2024-12-30,Education,Online Course
122.27,2024-12-31,Health,Therapy Session
7.91,2025-01-01,Personal Care,Haircut
128.6,2025-01-01,Utilities,Internet Provider
118.34,2025-01-01,Groceries,Local Supermarket
33.87,2025-01-01,Personal Care,Haircut
16.84,2025-01-02,Transportation,Bus Pass Kiosk
223.24,2025-01-02,Education,Workshop Fee
83.18,2025-01-02,Entertainment,Streaming Service Subscription
139.73,2025-01-03,Utilities,Electricity Bill
111.12,2025-01-04,Shopping,Clothing Store Sale
111.11,2025-01-05,Health,Gym Membership
302.53,2025-01-05,Travel,Hotel Stay
42.78,2025-01-05,Transportation,Ride Sharing App
53.78,2025-01-06,Groceries,Local Supermarket
81.45,2025-01-06,Health,Doctor Visit
20.83,2025-01-07,Personal Care,Pharmacy
324.66,2025-01-07,Travel,Train Ticket
94.29,2025-01-11,Education,Workshop Fee
111.14,2025-01-11,Utilities,Electricity Bill
40.77,2025-01-11,Entertainment,Concert Venue
340.8,2025-01-12,Travel,Train Ticket
35.3,2025-01-12,Entertainment,Concert Venue
27.17,2025-01-12,Personal Care,Haircut
107.74,2025-01-12,Health,Doctor Visit
31.52,2025-01-12,Dining Out,Sushi Bar
122.31,2025-01-13,Utilities,Water Bill
77.53,2025-01-14,Education,Bookstore
31.31,2025-01-14,Dining Out,Sushi Bar
35.61,2025-01-14,Transportation,Petrol Station
89.9,2025-01-15,Groceries,Supermarket A
95.78,2025-01-15,Health,Therapy Session
24.16,2025-01-16,Entertainment,Concert Venue
103.43,2025-01-16,Groceries,Local Supermarket
26.89,2025-01-16,Transportation,Bus Pass Kiosk
261.09,2025-01-17,Travel,Hotel Stay
135.59,2025-01-17,Travel,Train Ticket
115.45,2025-01-18,Health,Gym Membership
71.13,2025-01-18,Utilities,Water Bill
482.14,2025-01-18,Travel,Hotel Stay
81.19,2025-01-18,Groceries,Grocery Store B
24.46,2025-01-19,Education,Online Course
28.39,2025-01-19,Groceries,Grocery Store B
144.74,2025-01-20,Utilities,Water Bill
72.31,2025-01-20,Travel,Train Ticket
11.34,2025-01-21,Dining Out,Coffee Shop Downtown
86.39,2025-01-21,Groceries,Supermarket A
125.48,2025-01-23,Education,Workshop Fee
44.43,2025-01-23,Health,Gym Membership
176.29,2025-01-24,Education,Workshop Fee
107.21,2025-01-25,Education,Online Course
72.42,2025-01-25,Personal Care,Haircut
10.7,2025-01-25,Transportation,Bus Pass Kiosk
192.03,2025-01-25,Shopping,Clothing Store Sale
24.76,2025-01-25,Transportation,Ride Sharing App
27.61,2025-01-26,Transportation,Petrol Station
13.88,2025-01-26,Shopping,Bookshop
230.18,2025-01-26,Education,Online Course
53.94,2025-01-26,Education,Workshop Fee
40.6,2025-01-27,Utilities,Electricity Bill
30.28,2025-01-27,Health,Gym Membership
21.6,2025-01-27,Entertainment,Concert Venue
116.51,2025-01-28,Education,Online Course
62.94,2025-01-28,Entertainment,Cinema Tickets
102.21,2025-01-28,Health,Doctor Visit
39.63,2025-01-29,Entertainment,Concert Venue
480.21,2025-01-29,Travel,Flight Booking
115.18,2025-01-29,Shopping,Home Decor
46.48,2025-01-30,Entertainment,Concert Venue
76.3,2025-01-30,Personal Care,Haircut
19.58,2025-01-30,Transportation,Bus Pass Kiosk
87.3,2025-01-30,Travel,Flight Booking
23.93,2025-01-30,Dining Out,Lunch Cafe
46.6,2025-01-31,Personal Care,Pharmacy
16.19,2025-01-31,Shopping,Clothing Store Sale
111.15,2025-01-31,Health,Gym Membership
90.81,2025-02-01,Education,Workshop Fee
41.68,2025-02-02,Groceries,Supermarket A
27.09,2025-02-02,Entertainment,Concert Venue
22.24,2025-02-02,Dining Out,Fast Food Z
81.75,2025-02-02,Entertainment,Cinema Tickets
388.68,2025-02-03,Travel,Flight Booking
124.93,2025-02-03,Utilities,Water Bill
31.22,2025-02-05,Personal Care,Spa Center
20.41,2025-02-05,Transportation,Petrol Station
116.54,2025-02-06,Health,Doctor Visit
52.12,2025-02-06,Entertainment,Cinema Tickets
88.76,2025-02-07,Health,Gym Membership
22.6,2025-02-07,Dining Out,Lunch Cafe
90.61,2025-02-07,Groceries,Local Supermarket
77.16,2025-02-08,Groceries,Local Supermarket
144.94,2025-02-08,Health,Gym Membership
103.65,2025-02-08,Shopping,Bookshop
38.59,2025-02-08,Transportation,Bus Pass Kiosk
36.24,2025-02-09,Groceries,Local Supermarket
52.76,2025-02-09,Education,Workshop Fee
35.6,2025-02-09,Utilities,Internet Provider
115.46,2025-02-09,Health,Gym Membership
44.96,2025-02-09,Personal Care,Pharmacy
99.45,2025-02-11,Utilities,Internet Provider
35.51,2025-02-14,Groceries,Local Supermarket
79.5,2025-02-15,Utilities,Electricity Bill
8.51,2025-02-15,Personal Care,Pharmacy
35.56,2025-02-16,Dining Out,Pizzeria Bella
33.95,2025-02-16,Dining Out,Fast Food Z
349.72,2025-02-16,Travel,Flight Booking
48.23,2025-02-16,Utilities,Electricity Bill
65.8,2025-02-16,Entertainment,Concert Venue
114.53,2025-02-18,Shopping,Clothing Store Sale
148.74,2025-02-19,Travel,Train Ticket
97.41,2025-02-19,Groceries,Grocery Store B
31.05,2025-02-20,Personal Care,Spa Center
51.95,2025-02-22,Utilities,Electricity Bill
128.93,2025-02-23,Health,Gym Membership
93.21,2025-02-23,Groceries,Supermarket A
62.03,2025-02-24,Health,Doctor Visit
77.32,2025-02-26,Shopping,Clothing Store Sale
100.06,2025-02-26,Groceries,Grocery Store B
12.15,2025-02-27,Shopping,Bookshop
60.04,2025-02-27,Health,Doctor Visit
125.51,2025-02-27,Utilities,Electricity Bill
118.06,2025-02-28,Travel,Flight Booking
97.35,2025-03-01,Health,Therapy Session
95.12,2025-03-01,Travel,Hotel Stay
85.74,2025-03-01,Entertainment,Cinema Tickets
362.95,2025-03-01,Travel,Hotel Stay
30.22,2025-03-01,Utilities,Electricity Bill
39.97,2025-03-02,Entertainment,Streaming Service Subscription
118.42,2025-03-02,Groceries,Supermarket A
61.74,2025-03-02,Personal Care,Pharmacy
17.55,2025-03-03,Personal Care,Pharmacy
31.94,2025-03-03,Personal Care,Pharmacy
73.38,2025-03-03,Health,Doctor Visit
118.48,2025-03-06,Travel,Train Ticket
59.88,2025-03-06,Utilities,Water Bill
78.94,2025-03-08,Personal Care,Spa Center
89.97,2025-03-09,Groceries,Local Supermarket
6.05,2025-03-09,Personal Care,Haircut
31.14,2025-03-10,Entertainment,Streaming Service Subscription
198.15,2025-03-10,Shopping,Online Electronics
40.71,2025-03-10,Groceries,Local Supermarket
53.6,2025-03-11,Education,Bookstore
74.85,2025-03-12,Personal Care,Pharmacy
40.89,2025-03-12,Transportation,Bus Pass Kiosk
53.37,2025-03-12,Personal Care,Spa Center
20.33,2025-03-13,Health,Doctor Visit
103.16,2025-03-15,Health,Doctor Visit
394.37,2025-03-16,Travel,Flight Booking
14.7,2025-03-16,Transportation,Bus Pass Kiosk
72.14,2025-03-16,Travel,Train Ticket
61.24,2025-03-16,Groceries,Grocery Store B
94.05,2025-03-16,Entertainment,Cinema Tickets
41.68,2025-03-17,Personal Care,Pharmacy
447.55,2025-03-17,Travel,Train Ticket
296.78,2025-03-18,Travel,Hotel Stay
142.95,2025-03-18,Shopping,Home Decor
35.59,2025-03-19,Dining Out,Fast Food Z
36.73,2025-03-20,Transportation,Bus Pass Kiosk
30.06,2025-03-21,Dining Out,Pizzeria Bella
61.94,2025-03-21,Utilities,Water Bill
75.51,2025-03-22,Utilities,Electricity Bill
41.78,2025-03-22,Health,Doctor Visit
80.45,2025-03-23,Groceries,Grocery Store B
48.4,2025-03-23,Groceries,Grocery Store B
47.91,2025-03-23,Groceries,Local Supermarket
15.75,2025-03-23,Transportation,Ride Sharing App
90.27,2025-03-23,Entertainment,Cinema Tickets
170.38,2025-03-24,Education,Workshop Fee
54.76,2025-03-24,Entertainment,Concert Venue
35.51,2025-03-26,Transportation,Petrol Station
32.68,2025-03-26,Education,Online Course
25.19,2025-03-26,Dining Out,Coffee Shop Downtown
17.66,2025-03-27,Transportation,Bus Pass Kiosk
20.39,2025-03-27,Health,Doctor Visit
172.42,2025-03-27,Shopping,Clothing Store Sale
329.24,2025-03-28,Travel,Train Ticket
79.17,2025-03-28,Entertainment,Streaming Service Subscription
85.86,2025-03-29,Travel,Hotel Stay
93.23,2025-03-29,Entertainment,Concert Venue
137.93,2025-03-30,Education,Online Course
473.74,2025-03-31,Travel,Flight Booking
27.51,2025-03-31,Entertainment,Cinema Tickets
27.08,2025-03-31,Entertainment,Streaming Service Subscription
74.09,2025-04-01,Shopping,Online Electronics
58.58,2025-04-01,Entertainment,Concert Venue
173.91,2025-04-01,Travel,Hotel Stay
44.98,2025-04-01,Transportation,Ride Sharing App
106.1,2025-04-01,Utilities,Internet Provider
105.05,2025-04-02,Health,Gym Membership
96.36,2025-04-03,Entertainment,Cinema Tickets
91.94,2025-04-04,Groceries,Grocery Store B
100.41,2025-04-05,Health,Gym Membership
284.42,2025-04-05,Travel,Train Ticket
409.67,2025-04-05,Travel,Hotel Stay
111.26,2025-04-05,Health,Doctor Visit
25.81,2025-04-06,Transportation,Bus Pass Kiosk
46.96,2025-04-07,Health,Therapy Session
57.34,2025-04-08,Health,Therapy Session
15.31,2025-04-09,Transportation,Bus Pass Kiosk
31.5,2025-04-09,Transportation,Petrol Station
88.18,2025-04-10,Education,Bookstore
141.7,2025-04-11,Health,Therapy Session
141.29,2025-04-11,Shopping,Bookshop
146.7,2025-04-12,Shopping,Online Electronics
23.35,2025-04-12,Transportation,Ride Sharing App
204.7,2025-04-12,Education,Online Course
38.01,2025-04-13,Personal Care,Spa Center
23.24,2025-04-13,Health,Therapy Session
39.43,2025-04-13,Health,Gym Membership
12.87,2025-04-14,Personal Care,Pharmacy
62.62,2025-04-14,Personal Care,Pharmacy
369.36,2025-04-14,Travel,Flight Booking
27.05,2025-04-15,Dining Out,Coffee Shop Downtown
57.85,2025-04-15,Transportation,Petrol Station
230.84,2025-04-15,Education,Online Course
51.19,2025-04-15,Utilities,Water Bill
26.94,2025-04-15,Personal Care,Pharmacy
418.93,2025-04-17,Travel,Flight Booking
26.88,2025-04-17,Education,Bookstore
12.66,2025-04-17,Transportation,Ride Sharing App
33.32,2025-04-19,Health,Doctor Visit
63.87,2025-04-19,Personal Care,Spa Center
61.8,2025-04-20,Entertainment,Concert Venue
51.2,2025-04-20,Transportation,Petrol Station
12.2,2025-04-21,Dining Out,Fast Food Z
11.98,2025-04-21,Shopping,Clothing Store Sale
59.44,2025-04-21,Groceries,Supermarket A
16.12,2025-04-22,Entertainment,Cinema Tickets
36.22,2025-04-22,Entertainment,Cinema Tickets
54.68,2025-04-23,Education,Online Course
25.27,2025-04-23,Dining Out,Lunch Cafe
148.06,2025-04-23,Travel,Hotel Stay
142.34,2025-04-24,Shopping,Home Decor
42.65,2025-04-24,Entertainment,Streaming Service Subscription
346.81,2025-04-25,Travel,Hotel Stay
111.21,2025-04-25,Utilities,Internet Provider
237.77,2025-04-26,Education,Workshop Fee
123.12,2025-04-26,Utilities,Electricity Bill
83.12,2025-04-27,Education,Bookstore
82.48,2025-04-27,Shopping,Home Decor
354.46,2025-04-27,Travel,Flight Booking
133.07,2025-04-28,Utilities,Internet Provider
22.56,2025-04-28,Entertainment,Cinema Tickets
96.48,2025-04-28,Groceries,Supermarket A
276.35,2025-04-29,Travel,Hotel Stay
37.39,2025-04-29,Utilities,Internet Provider
36.03,2025-04-30,Transportation,Bus Pass Kiosk
21.08,2025-04-30,Dining Out,Fast Food Z
162.7,2025-04-30,Education,Workshop Fee
20.19,2025-04-30,Dining Out,Fast Food Z
54.31,2025-05-01,Personal Care,Spa Center
116.5,2025-05-01,Groceries,Local Supermarket
28.9,2025-05-01,Transportation,Petrol Station
37.51,2025-05-01,Personal Care,Spa Center
9.03,2025-05-02,Personal Care,Haircut
133.01,2025-05-03,Travel,Hotel Stay
93.24,2025-05-03,Shopping,Online Electronics
128.44,2025-05-03,Shopping,Home Decor
378.1,2025-05-04,Travel,Flight Booking
440.59,2025-05-04,Travel,Hotel Stay
13.7,2025-05-04,Personal Care,Pharmacy
26.05,2025-05-04,Entertainment,Streaming Service Subscription
